Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
265.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,151.0,144.0,158.0,0.0,0.0,78.0,0.0,51.0,40.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,340.0,0.0,94.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,305.0
253.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,151.0,154.0,163.0,0.0,0.0,78.0,0.0,51.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,95.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,305.0
258.0,145.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,150.0,154.0,164.0,0.0,0.0,78.0,0.0,51.0,40.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,314.0,0.0,96.0,356.0,0.0,0.0,0.0,0.0,2.0,4.0,383.0,306.0
285.0,152.0,0.0,0.0,88.0,85.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,147.0,151.0,163.0,0.0,0.0,78.0,0.0,51.0,40.0,0.0,0.0,16.0,66.0,0.0,10.0,8.0,322.0,0.0,96.0,401.0,0.0,0.0,0.0,0.0,5.0,7.0,381.0,307.0
238.0,139.0,0.0,0.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,126.0,130.0,150.0,0.0,0.0,78.0,0.0,50.0,40.0,0.0,0.0,10.0,58.0,5.0,17.0,8.0,194.0,0.0,101.0,326.0,0.0,0.0,0.0,0.0,2.0,5.0,381.0,307.0
252.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,116.0,117.0,140.0,0.0,0.0,78.0,0.0,51.0,40.0,0.0,6.0,9.0,21.0,110.0,28.0,7.0,221.0,0.0,97.0,352.0,0.0,0.0,0.0,0.0,2.0,3.0,380.0,300.0
247.0,142.0,2.0,0.0,30.0,28.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,60.0,60.0,97.0,0.0,0.0,77.0,0.0,51.0,40.0,0.0,10.0,11.0,0.0,198.0,49.0,11.0,151.0,0.0,93.0,343.0,0.0,0.0,0.0,0.0,3.0,6.0,380.0,285.0
245.0,142.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,53.0,48.0,78.0,0.0,0.0,77.0,0.0,51.0,40.0,0.0,1.0,7.0,12.0,352.0,60.0,6.0,282.0,0.0,93.0,349.0,0.0,0.0,0.0,0.0,0.0,2.0,379.0,287.0
232.0,138.0,0.0,0.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,58.0,54.0,79.0,0.0,0.0,77.0,0.0,51.0,40.0,0.0,0.0,2.0,0.0,356.0,81.0,3.0,309.0,0.0,94.0,328.0,0.0,0.0,0.0,0.0,0.0,1.0,379.0,293.0
228.0,134.0,0.0,0.0,0.0,0.0,43.0,0.0,4.0,0.0,0.0,1019.0,0.0,128.0,130.0,144.0,0.0,0.0,85.0,0.0,52.0,40.0,0.0,0.0,0.0,0.0,344.0,84.0,0.0,319.0,0.0,95.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,293.0
285.0,154.0,0.0,67.0,1.0,64.0,162.0,15.0,196.0,0.0,0.0,1018.0,0.0,146.0,149.0,163.0,0.0,0.0,97.0,0.0,55.0,40.0,0.0,0.0,0.0,32.0,342.0,24.0,0.0,334.0,0.0,95.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,307.0
292.0,156.0,0.0,129.0,128.0,122.0,154.0,192.0,192.0,0.0,0.0,1020.0,0.0,146.0,150.0,163.0,0.0,0.0,114.0,0.0,61.0,40.0,0.0,0.0,0.0,33.0,354.0,0.0,0.0,336.0,0.0,94.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,305.0
278.0,152.0,0.0,33.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1020.0,0.0,124.0,126.0,147.0,0.0,0.0,146.0,0.0,75.0,40.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,335.0,0.0,94.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,305.0
265.0,147.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,1020.0,0.0,130.0,132.0,150.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,335.0,0.0,95.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,303.0
183.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,142.0,80.0,129.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,1.0,0.0,0.0,347.0,0.0,0.0,334.0,0.0,95.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,305.0
240.0,140.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,152.0,0.0,78.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,1.0,0.0,0.0,337.0,0.0,0.0,334.0,0.0,95.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,306.0
241.0,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,153.0,0.0,79.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,7.0,3.0,0.0,136.0,16.0,5.0,318.0,0.0,96.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,306.0
247.0,142.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,154.0,0.0,79.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,5.0,3.0,0.0,0.0,43.0,5.0,256.0,0.0,96.0,328.0,0.0,0.0,0.0,0.0,1.0,1.0,373.0,306.0
246.0,141.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,154.0,0.0,79.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,8.0,8.0,0.0,0.0,67.0,11.0,178.0,0.0,96.0,323.0,0.0,0.0,0.0,0.0,4.0,6.0,373.0,307.0
252.0,144.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,155.0,0.0,79.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,18.0,17.0,0.0,0.0,76.0,21.0,191.0,0.0,96.0,332.0,0.0,0.0,0.0,0.0,6.0,10.0,370.0,288.0
250.0,143.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,155.0,0.0,79.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,26.0,20.0,0.0,0.0,77.0,25.0,131.0,0.0,96.0,322.0,0.0,0.0,0.0,0.0,6.0,13.0,370.0,278.0
233.0,138.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,155.0,0.0,79.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,14.0,12.0,0.0,0.0,83.0,17.0,198.0,0.0,96.0,287.0,0.0,0.0,0.0,0.0,5.0,11.0,372.0,279.0
239.0,139.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,155.0,0.0,79.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,12.0,14.0,0.0,0.0,87.0,17.0,244.0,0.0,96.0,295.0,0.0,0.0,0.0,0.0,6.0,10.0,372.0,290.0
259.0,146.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,156.0,0.0,79.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,16.0,15.0,0.0,0.0,97.0,18.0,335.0,0.0,96.0,350.0,0.0,0.0,0.0,0.0,5.0,9.0,371.0,286.0
253.0,144.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,155.0,0.0,79.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,12.0,13.0,0.0,0.0,101.0,15.0,338.0,0.0,96.0,336.0,0.0,0.0,0.0,0.0,5.0,8.0,370.0,289.0
265.0,148.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,153.0,0.0,79.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,15.0,11.0,0.0,0.0,102.0,13.0,342.0,0.0,95.0,359.0,0.0,0.0,0.0,0.0,3.0,5.0,371.0,286.0
262.0,147.0,9.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,151.0,0.0,78.0,0.0,0.0,146.0,0.0,76.0,40.0,0.0,14.0,10.0,13.0,0.0,102.0,12.0,333.0,0.0,95.0,360.0,0.0,0.0,0.0,0.0,4.0,5.0,370.0,293.0
253.0,144.0,11.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,148.0,0.0,77.0,0.0,0.0,146.0,0.0,75.0,40.0,0.0,17.0,17.0,1.0,0.0,97.0,20.0,157.0,0.0,95.0,347.0,0.0,0.0,0.0,0.0,6.0,10.0,371.0,293.0
259.0,147.0,17.0,0.0,0.0,18.0,142.0,0.0,0.0,0.0,0.0,1021.0,0.0,146.0,0.0,77.0,0.0,0.0,146.0,0.0,75.0,40.0,0.0,24.0,20.0,0.0,0.0,96.0,25.0,191.0,0.0,95.0,362.0,0.0,0.0,0.0,0.0,7.0,11.0,372.0,290.0
233.0,138.0,18.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,1022.0,0.0,144.0,0.0,76.0,0.0,0.0,146.0,0.0,75.0,40.0,0.0,24.0,21.0,0.0,0.0,96.0,27.0,213.0,0.0,95.0,318.0,0.0,0.0,0.0,0.0,9.0,13.0,370.0,288.0
158.0,112.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,73.0,0.0,47.0,0.0,0.0,83.0,0.0,54.0,40.0,0.0,24.0,19.0,0.0,0.0,95.0,25.0,147.0,0.0,96.0,295.0,0.0,0.0,0.0,0.0,5.0,9.0,368.0,291.0
179.0,118.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,73.0,0.0,46.0,0.0,0.0,80.0,0.0,52.0,40.0,0.0,24.0,20.0,0.0,0.0,96.0,25.0,182.0,0.0,95.0,320.0,0.0,0.0,0.0,0.0,6.0,9.0,370.0,289.0
151.0,110.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,0.0,73.0,11.0,46.0,0.0,0.0,78.0,0.0,49.0,40.0,0.0,25.0,20.0,0.0,0.0,99.0,24.0,213.0,0.0,94.0,327.0,0.0,0.0,0.0,0.0,5.0,9.0,373.0,289.0
222.0,133.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,0.0,96.0,94.0,97.0,0.0,0.0,111.0,0.0,59.0,40.0,0.0,25.0,19.0,0.0,56.0,102.0,23.0,308.0,0.0,93.0,345.0,0.0,0.0,0.0,0.0,3.0,7.0,372.0,285.0
273.0,150.0,15.0,0.0,3.0,0.0,65.0,1.0,10.0,0.0,0.0,1017.0,0.0,129.0,130.0,149.0,0.0,0.0,146.0,0.0,75.0,40.0,0.0,21.0,17.0,0.0,298.0,102.0,23.0,326.0,0.0,94.0,342.0,0.0,0.0,0.0,0.0,5.0,8.0,374.0,294.0
286.0,154.0,13.0,0.0,137.0,0.0,167.0,131.0,132.0,0.0,0.0,1013.0,0.0,144.0,147.0,161.0,0.0,0.0,146.0,0.0,75.0,40.0,0.0,17.0,14.0,0.0,355.0,100.0,17.0,328.0,0.0,94.0,335.0,0.0,0.0,0.0,0.0,5.0,8.0,374.0,304.0
291.0,155.0,13.0,0.0,106.0,0.0,161.0,84.0,114.0,0.0,0.0,1008.0,0.0,147.0,149.0,162.0,0.0,0.0,146.0,0.0,74.0,40.0,0.0,15.0,18.0,0.0,338.0,100.0,24.0,328.0,0.0,93.0,326.0,0.0,0.0,0.0,0.0,5.0,9.0,376.0,305.0
293.0,155.0,8.0,0.0,5.0,0.0,179.0,0.0,4.0,0.0,0.0,1008.0,0.0,148.0,150.0,162.0,0.0,0.0,146.0,0.0,75.0,40.0,0.0,12.0,14.0,0.0,318.0,98.0,15.0,327.0,0.0,92.0,351.0,0.0,0.0,0.0,0.0,5.0,7.0,376.0,303.0
293.0,155.0,13.0,0.0,39.0,0.0,159.0,0.0,0.0,0.0,0.0,1008.0,0.0,148.0,151.0,162.0,0.0,0.0,146.0,0.0,75.0,40.0,0.0,17.0,9.0,0.0,335.0,97.0,12.0,327.0,0.0,92.0,346.0,0.0,0.0,0.0,0.0,2.0,4.0,376.0,305.0
271.0,150.0,26.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,1009.0,0.0,148.0,151.0,162.0,0.0,0.0,146.0,0.0,75.0,40.0,0.0,36.0,45.0,0.0,305.0,98.0,40.0,327.0,0.0,93.0,344.0,0.0,0.0,0.0,0.0,9.0,13.0,376.0,305.0
289.0,153.0,54.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,149.0,151.0,163.0,0.0,0.0,146.0,0.0,75.0,40.0,0.0,77.0,105.0,0.0,244.0,98.0,113.0,326.0,0.0,94.0,357.0,0.0,0.0,0.0,0.0,40.0,40.0,248.0,306.0
