Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
277.0,151.0,59.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,1018.0,0.0,128.0,130.0,150.0,84.0,84.0,128.0,119.0,137.0,23.0,389.0,79.0,101.0,0.0,350.0,0.0,150.0,332.0,114.0,69.0,349.0,0.0,0.0,0.0,0.0,59.0,57.0,374.0,286.0
276.0,151.0,46.0,0.0,77.0,0.0,0.0,0.0,45.0,0.0,0.0,1018.0,0.0,129.0,131.0,151.0,92.0,92.0,128.0,64.0,117.0,23.0,389.0,63.0,77.0,0.0,355.0,0.0,111.0,330.0,119.0,69.0,352.0,0.0,0.0,0.0,0.0,43.0,44.0,374.0,291.0
274.0,151.0,45.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,0.0,127.0,130.0,150.0,95.0,95.0,128.0,99.0,130.0,23.0,388.0,62.0,88.0,0.0,355.0,0.0,121.0,331.0,123.0,70.0,349.0,0.0,0.0,0.0,0.0,39.0,42.0,374.0,292.0
215.0,130.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,0.0,80.0,81.0,117.0,78.0,78.0,134.0,62.0,118.0,23.0,388.0,55.0,74.0,0.0,342.0,0.0,112.0,258.0,112.0,85.0,333.0,0.0,0.0,0.0,0.0,41.0,41.0,374.0,293.0
274.0,150.0,34.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,0.0,123.0,125.0,144.0,86.0,86.0,146.0,92.0,131.0,23.0,386.0,45.0,55.0,0.0,335.0,0.0,96.0,332.0,115.0,99.0,335.0,0.0,0.0,0.0,0.0,39.0,37.0,374.0,292.0
278.0,152.0,39.0,118.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,1018.0,0.0,143.0,146.0,160.0,128.0,128.0,146.0,144.0,150.0,23.0,389.0,55.0,65.0,0.0,333.0,0.0,94.0,333.0,142.0,89.0,332.0,0.0,0.0,0.0,0.0,40.0,40.0,376.0,303.0
283.0,153.0,43.0,120.0,105.0,0.0,0.0,0.0,170.0,0.0,0.0,1017.0,0.0,143.0,147.0,160.0,138.0,138.0,146.0,145.0,151.0,23.0,390.0,62.0,60.0,0.0,334.0,0.0,94.0,335.0,149.0,89.0,349.0,0.0,0.0,0.0,0.0,41.0,41.0,376.0,303.0
286.0,153.0,43.0,47.0,20.0,0.0,0.0,0.0,137.0,0.0,0.0,1018.0,0.0,143.0,147.0,160.0,84.0,84.0,146.0,146.0,151.0,23.0,392.0,68.0,78.0,0.0,288.0,0.0,114.0,337.0,116.0,89.0,291.0,0.0,0.0,0.0,0.0,50.0,45.0,377.0,302.0
288.0,154.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,0.0,122.0,124.0,146.0,77.0,77.0,146.0,108.0,142.0,23.0,392.0,76.0,80.0,0.0,311.0,0.0,98.0,338.0,111.0,100.0,309.0,0.0,0.0,0.0,0.0,40.0,45.0,378.0,303.0
285.0,154.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,0.0,122.0,118.0,143.0,77.0,78.0,146.0,76.0,130.0,24.0,392.0,56.0,69.0,0.0,325.0,0.0,100.0,338.0,111.0,106.0,307.0,0.0,0.0,0.0,0.0,41.0,40.0,378.0,303.0
234.0,138.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,145.0,2.0,81.0,77.0,77.0,146.0,14.0,82.0,23.0,392.0,55.0,61.0,0.0,301.0,0.0,88.0,291.0,111.0,100.0,304.0,0.0,0.0,0.0,0.0,35.0,38.0,378.0,270.0
229.0,135.0,31.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,134.0,0.0,72.0,119.0,120.0,143.0,0.0,75.0,23.0,392.0,45.0,52.0,0.0,309.0,0.0,79.0,251.0,137.0,100.0,318.0,0.0,0.0,0.0,0.0,33.0,34.0,379.0,243.0
269.0,148.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,98.0,0.0,55.0,78.0,78.0,61.0,0.0,43.0,23.0,392.0,50.0,55.0,0.0,355.0,0.0,63.0,256.0,111.0,100.0,371.0,0.0,0.0,0.0,0.0,26.0,27.0,380.0,241.0
249.0,142.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,96.0,0.0,55.0,77.0,77.0,61.0,0.0,42.0,23.0,223.0,49.0,41.0,0.0,354.0,0.0,43.0,159.0,111.0,101.0,324.0,0.0,0.0,0.0,0.0,24.0,25.0,381.0,267.0
251.0,143.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,92.0,0.0,53.0,77.0,77.0,61.0,0.0,42.0,23.0,174.0,40.0,30.0,0.0,354.0,0.0,39.0,140.0,111.0,101.0,331.0,0.0,0.0,0.0,0.0,22.0,23.0,381.0,285.0
251.0,143.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,119.0,0.0,65.0,77.0,77.0,61.0,0.0,42.0,23.0,176.0,23.0,20.0,0.0,355.0,0.0,25.0,207.0,111.0,99.0,335.0,0.0,0.0,0.0,0.0,14.0,15.0,382.0,292.0
236.0,138.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,126.0,0.0,70.0,77.0,77.0,61.0,0.0,42.0,23.0,176.0,29.0,28.0,0.0,355.0,0.0,33.0,273.0,111.0,101.0,312.0,0.0,0.0,0.0,0.0,12.0,10.0,382.0,293.0
231.0,136.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,118.0,66.0,85.0,126.0,126.0,65.0,46.0,55.0,23.0,361.0,32.0,41.0,0.0,318.0,0.0,54.0,247.0,141.0,99.0,315.0,0.0,0.0,0.0,0.0,19.0,16.0,381.0,294.0
244.0,140.0,25.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1021.0,0.0,146.0,148.0,160.0,123.0,123.0,143.0,148.0,149.0,23.0,393.0,39.0,46.0,0.0,314.0,0.0,60.0,317.0,140.0,104.0,308.0,0.0,0.0,0.0,0.0,21.0,22.0,381.0,279.0
250.0,143.0,28.0,116.0,0.0,107.0,0.0,0.0,171.0,0.0,0.0,1021.0,0.0,145.0,148.0,160.0,121.0,121.0,146.0,148.0,154.0,30.0,393.0,41.0,49.0,0.0,335.0,0.0,55.0,333.0,139.0,115.0,331.0,0.0,0.0,0.0,0.0,16.0,15.0,381.0,289.0
250.0,143.0,29.0,122.0,0.0,117.0,0.0,0.0,176.0,0.0,0.0,1021.0,0.0,146.0,148.0,160.0,138.0,138.0,153.0,148.0,156.0,41.0,392.0,44.0,44.0,0.0,352.0,0.0,59.0,335.0,149.0,124.0,342.0,0.0,0.0,0.0,0.0,21.0,17.0,381.0,285.0
245.0,141.0,19.0,81.0,0.0,78.0,0.0,0.0,116.0,0.0,0.0,1022.0,0.0,144.0,147.0,159.0,126.0,126.0,154.0,148.0,156.0,41.0,393.0,31.0,34.0,0.0,335.0,0.0,52.0,328.0,143.0,127.0,317.0,0.0,0.0,0.0,0.0,17.0,17.0,381.0,257.0
237.0,139.0,8.0,17.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,1023.0,0.0,132.0,134.0,152.0,121.0,121.0,152.0,147.0,155.0,41.0,393.0,14.0,18.0,0.0,322.0,0.0,27.0,296.0,139.0,127.0,301.0,0.0,0.0,0.0,0.0,10.0,10.0,380.0,245.0
219.0,132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,108.0,110.0,137.0,109.0,109.0,127.0,127.0,143.0,41.0,391.0,4.0,5.0,0.0,300.0,0.0,12.0,242.0,132.0,126.0,293.0,0.0,0.0,0.0,0.0,4.0,4.0,378.0,270.0
241.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,102.0,103.0,130.0,98.0,98.0,67.0,67.0,101.0,41.0,389.0,0.0,0.0,0.0,311.0,0.0,3.0,224.0,125.0,125.0,313.0,0.0,0.0,0.0,0.0,1.0,1.0,376.0,287.0
227.0,136.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1018.0,0.0,125.0,126.0,146.0,98.0,98.0,67.0,75.0,102.0,41.0,388.0,0.0,0.0,0.0,279.0,0.0,1.0,281.0,125.0,125.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,204.0
263.0,146.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1017.0,0.0,140.0,143.0,158.0,110.0,110.0,67.0,100.0,112.0,41.0,387.0,4.0,5.0,0.0,297.0,0.0,7.0,322.0,131.0,120.0,308.0,0.0,0.0,0.0,0.0,1.0,1.0,374.0,220.0
274.0,151.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,0.0,129.0,131.0,150.0,125.0,125.0,67.0,100.0,110.0,41.0,387.0,7.0,11.0,0.0,322.0,0.0,17.0,332.0,141.0,119.0,335.0,0.0,0.0,0.0,0.0,7.0,6.0,373.0,293.0
277.0,152.0,7.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,1015.0,0.0,134.0,136.0,155.0,144.0,144.0,76.0,101.0,113.0,41.0,387.0,12.0,19.0,0.0,344.0,0.0,24.0,333.0,154.0,123.0,335.0,0.0,0.0,0.0,0.0,9.0,8.0,373.0,296.0
280.0,152.0,3.0,81.0,0.0,1.0,0.0,106.0,156.0,0.0,0.0,1017.0,0.0,141.0,145.0,158.0,136.0,136.0,145.0,146.0,151.0,41.0,389.0,6.0,12.0,0.0,338.0,0.0,23.0,335.0,148.0,125.0,331.0,0.0,0.0,0.0,0.0,9.0,8.0,375.0,304.0
285.0,154.0,0.0,115.0,97.0,52.0,0.0,179.0,156.0,0.0,0.0,1018.0,0.0,143.0,148.0,161.0,144.0,144.0,146.0,146.0,153.0,40.0,392.0,2.0,5.0,0.0,338.0,0.0,13.0,336.0,153.0,125.0,338.0,0.0,0.0,0.0,0.0,4.0,3.0,377.0,304.0
289.0,155.0,1.0,94.0,94.0,76.0,0.0,141.0,146.0,0.0,0.0,1019.0,0.0,143.0,149.0,161.0,141.0,142.0,146.0,147.0,153.0,40.0,393.0,3.0,5.0,0.0,327.0,0.0,12.0,337.0,152.0,126.0,309.0,0.0,0.0,0.0,0.0,5.0,2.0,379.0,304.0
251.0,144.0,5.0,2.0,1.0,0.0,0.0,1.0,48.0,0.0,0.0,1019.0,0.0,144.0,150.0,161.0,140.0,140.0,146.0,147.0,153.0,40.0,393.0,8.0,14.0,0.0,320.0,0.0,20.0,339.0,151.0,121.0,315.0,0.0,0.0,0.0,0.0,8.0,7.0,380.0,306.0
226.0,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,145.0,151.0,162.0,121.0,122.0,146.0,147.0,153.0,40.0,392.0,3.0,11.0,0.0,298.0,0.0,17.0,278.0,140.0,115.0,303.0,0.0,0.0,0.0,0.0,5.0,7.0,381.0,294.0
240.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,146.0,151.0,162.0,113.0,87.0,137.0,135.0,145.0,40.0,394.0,0.0,1.0,0.0,337.0,0.0,8.0,232.0,122.0,104.0,319.0,0.0,0.0,0.0,0.0,2.0,2.0,381.0,295.0
219.0,133.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1022.0,0.0,147.0,33.0,102.0,19.0,0.0,78.0,1.0,51.0,40.0,114.0,0.0,0.0,0.0,304.0,0.0,1.0,256.0,12.0,95.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,289.0
238.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,148.0,0.0,77.0,0.0,0.0,79.0,0.0,51.0,40.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,272.0,0.0,94.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,286.0
240.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,150.0,0.0,77.0,0.0,0.0,79.0,0.0,51.0,40.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,266.0,0.0,94.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,287.0
243.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,151.0,0.0,78.0,0.0,0.0,79.0,0.0,51.0,40.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,337.0,0.0,94.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,278.0
246.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,152.0,0.0,78.0,0.0,0.0,79.0,0.0,51.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,95.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,284.0
244.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,152.0,0.0,78.0,0.0,0.0,79.0,0.0,51.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,94.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,286.0
235.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,152.0,0.0,78.0,0.0,0.0,78.0,0.0,51.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,0.0,95.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,265.0
269.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,152.0,59.0,86.0,0.0,0.0,78.0,0.0,51.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,94.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,277.0
