Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,156.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,160.0,212.0,0.0,260.0,205.0,0.0,91.0,269.0,470.0,485.0,1010.0,0.0,134.0,161.0,0.0,208.0
0.0,0.0,157.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,160.0,212.0,0.0,218.0,205.0,0.0,91.0,257.0,466.0,485.0,1011.0,0.0,144.0,165.0,0.0,188.0
0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,162.0,212.0,0.0,171.0,205.0,0.0,91.0,243.0,467.0,485.0,1013.0,0.0,144.0,168.0,0.0,180.0
0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,161.0,212.0,0.0,206.0,205.0,0.0,111.0,244.0,469.0,485.0,1013.0,0.0,144.0,166.0,0.0,176.0
0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,161.0,212.0,0.0,244.0,205.0,0.0,123.0,259.0,469.0,485.0,1013.0,0.0,144.0,168.0,0.0,171.0
0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,159.0,212.0,0.0,209.0,205.0,0.0,115.0,250.0,472.0,485.0,1015.0,0.0,144.0,169.0,0.0,188.0
0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,433.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,159.0,212.0,0.0,246.0,205.0,0.0,107.0,261.0,473.0,485.0,1013.0,0.0,144.0,168.0,0.0,197.0
0.0,0.0,157.0,0.0,95.0,0.0,0.0,0.0,164.0,0.0,433.0,0.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,159.0,212.0,0.0,265.0,205.0,0.0,99.0,276.0,472.0,484.0,1014.0,0.0,143.0,165.0,0.0,211.0
0.0,0.0,146.0,0.0,31.0,0.0,0.0,0.0,15.0,0.0,432.0,0.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,159.0,212.0,0.0,239.0,205.0,0.0,91.0,260.0,473.0,485.0,1015.0,0.0,142.0,158.0,0.0,248.0
0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,156.0,208.0,0.0,200.0,205.0,0.0,89.0,253.0,475.0,487.0,1016.0,0.0,138.0,155.0,0.0,252.0
