Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
273.0,148.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,39.0,43.0,0.0,293.0,205.0,60.0,0.0,96.0,314.0,468.0,474.0,0.0,0.0,24.0,26.0,0.0,251.0
275.0,149.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,38.0,31.0,0.0,328.0,205.0,52.0,0.0,96.0,341.0,468.0,474.0,0.0,0.0,22.0,22.0,0.0,263.0
262.0,145.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,20.0,14.0,0.0,319.0,205.0,25.0,0.0,97.0,338.0,468.0,474.0,0.0,0.0,12.0,8.0,0.0,270.0
271.0,148.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,123.0,0.0,9.0,7.0,0.0,335.0,205.0,13.0,0.0,94.0,358.0,470.0,474.0,0.0,0.0,4.0,2.0,0.0,271.0
261.0,145.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,0.0,53.0,0.0,2.0,125.0,0.0,12.0,14.0,0.0,294.0,206.0,21.0,36.0,91.0,307.0,470.0,474.0,0.0,0.0,9.0,5.0,129.0,298.0
236.0,137.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,0.0,55.0,36.0,39.0,126.0,0.0,20.0,20.0,0.0,306.0,206.0,31.0,254.0,93.0,336.0,470.0,475.0,0.0,0.0,16.0,8.0,232.0,257.0
275.0,149.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,0.0,130.0,143.0,138.0,127.0,0.0,25.0,23.0,0.0,333.0,206.0,27.0,192.0,96.0,361.0,468.0,477.0,0.0,0.0,11.0,6.0,336.0,291.0
280.0,151.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,118.0,121.0,134.0,125.0,0.0,16.0,19.0,0.0,296.0,206.0,25.0,331.0,95.0,320.0,468.0,476.0,0.0,0.0,10.0,5.0,365.0,299.0
279.0,151.0,19.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,127.0,138.0,142.0,118.0,0.0,27.0,29.0,0.0,304.0,206.0,39.0,332.0,98.0,323.0,469.0,476.0,0.0,0.0,12.0,14.0,366.0,299.0
276.0,150.0,29.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,129.0,141.0,143.0,111.0,0.0,41.0,46.0,0.0,321.0,206.0,67.0,330.0,101.0,346.0,468.0,476.0,0.0,0.0,21.0,26.0,363.0,301.0
273.0,150.0,24.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,129.0,139.0,142.0,104.0,0.0,36.0,37.0,19.0,313.0,206.0,58.0,329.0,96.0,343.0,468.0,475.0,0.0,0.0,20.0,23.0,362.0,300.0
