Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
165.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,434.0,1021.0,1038.0,0.0,29.0,0.0,79.0,0.0,47.0,108.0,0.0,0.0,397.0,0.0,0.0,0.0,274.0,187.0,294.0,0.0,0.0,0.0,0.0,1025.0,1042.0,0.0,0.0,0.0,265.0
266.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,434.0,1021.0,1038.0,0.0,40.0,5.0,90.0,0.0,50.0,109.0,0.0,0.0,397.0,0.0,0.0,0.0,268.0,187.0,335.0,0.0,0.0,0.0,0.0,1025.0,1042.0,0.0,0.0,0.0,250.0
175.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,434.0,1020.0,1038.0,0.0,61.0,35.0,64.0,0.0,37.0,111.0,0.0,0.0,388.0,0.0,0.0,0.0,227.0,187.0,170.0,0.0,0.0,0.0,0.0,1025.0,1043.0,0.0,0.0,0.0,231.0
127.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,434.0,1020.0,1038.0,0.0,65.0,42.0,75.0,0.0,42.0,108.0,0.0,0.0,207.0,0.0,0.0,0.0,204.0,187.0,139.0,0.0,0.0,0.0,0.0,1025.0,1043.0,0.0,0.0,0.0,225.0
158.0,113.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,434.0,1022.0,1039.0,37.0,64.0,43.0,85.0,5.0,47.0,105.0,0.0,0.0,189.0,0.0,4.0,0.0,256.0,187.0,138.0,0.0,0.0,0.0,0.0,1025.0,1043.0,0.0,0.0,0.0,245.0
170.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,434.0,1022.0,1039.0,89.0,78.0,92.0,92.0,66.0,75.0,107.0,0.0,0.0,189.0,0.0,4.0,0.0,247.0,187.0,254.0,0.0,0.0,0.0,0.0,1025.0,1043.0,3.0,3.0,1.0,245.0
285.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,433.0,1022.0,1038.0,147.0,149.0,151.0,127.0,128.0,138.0,110.0,0.0,0.0,366.0,0.0,0.0,0.0,303.0,187.0,354.0,0.0,0.0,0.0,0.0,1025.0,1043.0,0.0,0.0,76.0,300.0
288.0,155.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,435.0,433.0,1021.0,1038.0,123.0,127.0,140.0,129.0,133.0,143.0,111.0,0.0,0.0,397.0,0.0,2.0,0.0,323.0,187.0,356.0,0.0,0.0,0.0,0.0,1025.0,1042.0,0.0,0.0,139.0,302.0
