Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Norther Offshore WP,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
190.0,119.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,427.0,0.0,982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,148.0,214.0,137.0,28.0,249.0,149.0,194.0,21.0,0.0,79.0,337.0,453.0,468.0,0.0,995.0,59.0,100.0,0.0,306.0,282.0
3.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,427.0,0.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,151.0,237.0,180.0,0.0,207.0,175.0,233.0,0.0,0.0,79.0,290.0,453.0,468.0,0.0,995.0,81.0,126.0,0.0,314.0,254.0
0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,426.0,0.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,148.0,289.0,180.0,0.0,189.0,191.0,254.0,0.0,0.0,79.0,269.0,453.0,468.0,0.0,997.0,82.0,148.0,0.0,312.0,266.0
0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,426.0,0.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,147.0,317.0,184.0,0.0,223.0,203.0,274.0,0.0,0.0,79.0,285.0,452.0,469.0,0.0,995.0,86.0,128.0,0.0,312.0,274.0
0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,426.0,0.0,987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,151.0,334.0,205.0,0.0,191.0,202.0,299.0,0.0,0.0,79.0,275.0,453.0,469.0,0.0,993.0,117.0,143.0,0.0,314.0,271.0
0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,426.0,0.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,140.0,318.0,175.0,0.0,261.0,201.0,251.0,0.0,0.0,79.0,309.0,452.0,468.0,0.0,992.0,92.0,126.0,0.0,320.0,251.0
0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,425.0,0.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,137.0,220.0,145.0,0.0,260.0,134.0,160.0,0.0,0.0,79.0,317.0,453.0,469.0,0.0,991.0,56.0,94.0,0.0,316.0,249.0
0.0,0.0,49.0,106.0,0.0,0.0,76.0,0.0,0.0,441.0,425.0,0.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,67.0,107.0,87.0,0.0,300.0,70.0,90.0,0.0,0.0,79.0,346.0,452.0,468.0,0.0,990.0,22.0,77.0,0.0,317.0,256.0
