Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Norther Offshore WP,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,57.0,0.0,0.0,0.0,22.0,0.0,0.0,454.0,436.0,1020.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,74.0,177.0,74.0,0.0,0.0,0.0,126.0,258.0,0.0,99.0,381.0,477.0,491.0,0.0,1044.0,44.0,44.0,0.0,361.0,279.0
0.0,0.0,29.0,0.0,0.0,135.0,0.0,0.0,0.0,455.0,436.0,1021.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,41.0,94.0,43.0,0.0,0.0,0.0,73.0,300.0,0.0,99.0,361.0,477.0,491.0,0.0,1044.0,24.0,19.0,0.0,362.0,291.0
0.0,0.0,20.0,0.0,0.0,91.0,0.0,0.0,0.0,454.0,436.0,1021.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,30.0,81.0,29.0,0.0,0.0,0.0,53.0,251.0,0.0,107.0,339.0,477.0,491.0,0.0,1043.0,19.0,9.0,0.0,359.0,281.0
0.0,0.0,26.0,0.0,0.0,7.0,0.0,0.0,0.0,454.0,435.0,1022.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,47.0,119.0,53.0,0.0,0.0,0.0,85.0,223.0,0.0,108.0,342.0,477.0,491.0,0.0,1043.0,31.0,22.0,0.0,360.0,283.0
0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,435.0,1022.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,46.0,112.0,50.0,0.0,0.0,0.0,70.0,220.0,0.0,111.0,338.0,477.0,491.0,0.0,1043.0,24.0,22.0,0.0,358.0,263.0
0.0,0.0,26.0,21.0,0.0,43.0,0.0,0.0,0.0,453.0,436.0,1022.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,116.0,44.0,92.0,46.0,0.0,0.0,0.0,68.0,267.0,0.0,112.0,383.0,477.0,491.0,0.0,1043.0,23.0,17.0,0.0,355.0,266.0
0.0,0.0,41.0,12.0,0.0,123.0,1.0,0.0,12.0,453.0,436.0,1022.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,370.0,57.0,98.0,51.0,0.0,0.0,0.0,81.0,271.0,0.0,107.0,392.0,477.0,491.0,0.0,1043.0,29.0,21.0,0.0,352.0,260.0
0.0,0.0,34.0,117.0,112.0,125.0,184.0,0.0,181.0,452.0,436.0,1022.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,389.0,47.0,72.0,45.0,0.0,0.0,0.0,60.0,290.0,0.0,108.0,380.0,477.0,492.0,0.0,1043.0,20.0,15.0,0.0,363.0,249.0
