Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Norther Offshore WP,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,76.0,0.0,0.0,21.0,0.0,0.0,0.0,456.0,438.0,1018.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,117.0,188.0,128.0,0.0,257.0,0.0,163.0,0.0,0.0,122.0,314.0,474.0,488.0,0.0,1035.0,79.0,39.0,0.0,0.0,283.0
0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,438.0,1020.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,64.0,218.0,111.0,0.0,199.0,0.0,185.0,0.0,0.0,123.0,266.0,474.0,489.0,0.0,1036.0,99.0,70.0,0.0,0.0,278.0
0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,437.0,1020.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,52.0,206.0,65.0,0.0,217.0,0.0,140.0,0.0,0.0,123.0,277.0,475.0,490.0,0.0,1036.0,74.0,76.0,0.0,0.0,253.0
0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,437.0,1022.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,47.0,171.0,60.0,0.0,247.0,0.0,112.0,0.0,0.0,124.0,292.0,475.0,490.0,0.0,1037.0,57.0,56.0,0.0,0.0,286.0
0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,438.0,1023.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,30.0,120.0,32.0,0.0,266.0,0.0,67.0,0.0,0.0,125.0,314.0,479.0,490.0,0.0,1038.0,35.0,33.0,0.0,0.0,291.0
0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,438.0,1024.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,27.0,96.0,34.0,0.0,266.0,0.0,54.0,0.0,0.0,125.0,294.0,478.0,490.0,0.0,1039.0,19.0,22.0,0.0,0.0,255.0
0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,438.0,1021.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,22.0,93.0,29.0,0.0,249.0,0.0,46.0,0.0,0.0,126.0,287.0,478.0,490.0,0.0,1040.0,17.0,16.0,0.0,0.0,278.0
0.0,0.0,11.0,0.0,0.0,111.0,4.0,0.0,0.0,454.0,438.0,1010.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,20.0,41.0,18.0,0.0,285.0,0.0,28.0,0.0,0.0,126.0,298.0,478.0,490.0,0.0,1040.0,7.0,6.0,0.0,0.0,296.0
