Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,121.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1015.0,1030.0,0.0,0.0,0.0,95.0,93.0,117.0,87.0,0.0,0.0,0.0,163.0,0.0,0.0,185.0,0.0,124.0,278.0,474.0,494.0,1027.0,1041.0,106.0,153.0,0.0,0.0
0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,1031.0,0.0,0.0,0.0,81.0,79.0,104.0,77.0,0.0,0.0,0.0,208.0,0.0,0.0,183.0,0.0,125.0,271.0,474.0,493.0,1027.0,1042.0,139.0,161.0,0.0,0.0
0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,1031.0,0.0,0.0,0.0,88.0,87.0,110.0,83.0,0.0,0.0,0.0,200.0,0.0,0.0,183.0,0.0,125.0,273.0,474.0,494.0,1027.0,1042.0,127.0,135.0,0.0,0.0
0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,1032.0,0.0,0.0,0.0,111.0,109.0,128.0,97.0,0.0,0.0,0.0,147.0,0.0,0.0,178.0,0.0,126.0,280.0,474.0,494.0,1027.0,1041.0,68.0,75.0,0.0,0.0
0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1032.0,0.0,0.0,0.0,93.0,91.0,117.0,87.0,0.0,0.0,0.0,107.0,0.0,0.0,181.0,0.0,126.0,270.0,474.0,494.0,1027.0,1042.0,45.0,70.0,0.0,0.0
0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1032.0,0.0,0.0,0.0,98.0,97.0,120.0,90.0,0.0,0.0,0.0,74.0,0.0,0.0,179.0,0.0,126.0,273.0,474.0,494.0,1027.0,1042.0,38.0,73.0,0.0,0.0
0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1032.0,0.0,0.0,0.0,79.0,77.0,105.0,74.0,0.0,0.0,0.0,181.0,0.0,0.0,181.0,0.0,126.0,271.0,475.0,494.0,1027.0,1043.0,86.0,138.0,0.0,0.0
0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,1031.0,0.0,0.0,0.0,96.0,94.0,118.0,97.0,0.0,0.0,0.0,191.0,0.0,0.0,180.0,0.0,126.0,278.0,474.0,494.0,1027.0,1044.0,97.0,145.0,0.0,0.0
0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,1031.0,0.0,0.0,0.0,87.0,86.0,113.0,91.0,0.0,0.0,0.0,201.0,0.0,0.0,186.0,0.0,126.0,275.0,474.0,494.0,1027.0,1043.0,121.0,149.0,0.0,0.0
0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1030.0,0.0,0.0,0.0,83.0,81.0,107.0,78.0,0.0,0.0,0.0,191.0,0.0,0.0,184.0,0.0,126.0,271.0,474.0,494.0,1027.0,1043.0,108.0,116.0,0.0,0.0
0.0,0.0,132.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1017.0,1032.0,0.0,0.0,0.0,83.0,81.0,109.0,79.0,0.0,0.0,0.0,174.0,0.0,0.0,185.0,0.0,126.0,271.0,474.0,494.0,1027.0,1043.0,84.0,93.0,0.0,0.0
