Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
148.0,112.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,438.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,376.0,206.0,0.0,192.0,208.0,0.0,119.0,254.0,0.0,0.0,1005.0,1035.0,145.0,173.0,0.0,298.0
78.0,87.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,437.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,386.0,206.0,0.0,165.0,203.0,0.0,119.0,244.0,0.0,0.0,1005.0,1038.0,145.0,173.0,0.0,299.0
144.0,108.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,437.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,349.0,206.0,0.0,187.0,130.0,0.0,119.0,254.0,0.0,0.0,1007.0,1038.0,145.0,173.0,0.0,296.0
159.0,113.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,437.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,307.0,206.0,0.0,187.0,84.0,0.0,119.0,242.0,0.0,0.0,1008.0,1038.0,145.0,173.0,0.0,297.0
167.0,115.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,437.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,296.0,206.0,0.0,205.0,84.0,0.0,119.0,242.0,0.0,0.0,1012.0,1040.0,145.0,173.0,61.0,298.0
95.0,94.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,437.0,0.0,1032.0,0.0,0.0,0.0,0.0,38.0,2.0,85.0,0.0,0.0,386.0,206.0,0.0,200.0,117.0,12.0,119.0,242.0,0.0,0.0,1012.0,1042.0,145.0,173.0,146.0,290.0
94.0,92.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,437.0,0.0,1031.0,0.0,0.0,0.0,55.0,87.0,58.0,97.0,0.0,0.0,387.0,206.0,0.0,261.0,202.0,143.0,119.0,338.0,0.0,0.0,1013.0,1042.0,145.0,173.0,338.0,291.0
281.0,153.0,154.0,0.0,23.0,32.0,98.0,0.0,0.0,433.0,438.0,0.0,1033.0,0.0,0.0,0.0,127.0,126.0,136.0,103.0,0.0,0.0,387.0,206.0,0.0,289.0,208.0,294.0,119.0,380.0,0.0,0.0,1014.0,1041.0,144.0,172.0,365.0,228.0
282.0,155.0,154.0,0.0,41.0,97.0,151.0,0.0,0.0,433.0,438.0,0.0,1033.0,0.0,0.0,0.0,115.0,114.0,130.0,98.0,0.0,0.0,387.0,207.0,0.0,259.0,208.0,341.0,119.0,371.0,0.0,0.0,1014.0,1041.0,142.0,172.0,370.0,219.0
281.0,154.0,154.0,0.0,0.0,23.0,136.0,0.0,0.0,433.0,438.0,0.0,1033.0,0.0,0.0,0.0,113.0,114.0,129.0,100.0,0.0,0.0,387.0,206.0,0.0,314.0,207.0,341.0,119.0,397.0,0.0,0.0,1016.0,1040.0,144.0,173.0,372.0,287.0
281.0,154.0,154.0,0.0,0.0,0.0,95.0,0.0,0.0,433.0,438.0,0.0,1033.0,0.0,0.0,0.0,114.0,114.0,130.0,99.0,0.0,0.0,392.0,206.0,2.0,294.0,207.0,329.0,119.0,380.0,0.0,0.0,1017.0,1040.0,145.0,173.0,372.0,288.0
