Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
177.0,120.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,435.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,199.0,0.0,90.0,274.0,0.0,0.0,0.0,1037.0,16.0,20.0,237.0,220.0
168.0,116.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,435.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,8.0,29.0,0.0,0.0,199.0,0.0,90.0,255.0,0.0,0.0,0.0,1037.0,35.0,44.0,236.0,180.0
157.0,114.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,435.0,998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,14.0,50.0,0.0,0.0,199.0,0.0,90.0,262.0,0.0,0.0,0.0,1038.0,59.0,59.0,235.0,198.0
126.0,102.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,435.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,33.0,69.0,0.0,0.0,199.0,0.0,90.0,263.0,0.0,0.0,0.0,1038.0,55.0,58.0,235.0,209.0
148.0,109.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,435.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,17.0,28.0,0.0,0.0,199.0,0.0,90.0,260.0,0.0,0.0,0.0,1037.0,13.0,25.0,346.0,201.0
198.0,127.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,435.0,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,22.0,30.0,0.0,0.0,199.0,0.0,90.0,373.0,0.0,0.0,0.0,1037.0,8.0,25.0,371.0,224.0
181.0,120.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,435.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,26.0,28.0,0.0,0.0,199.0,0.0,90.0,351.0,0.0,0.0,0.0,1037.0,14.0,27.0,372.0,243.0
193.0,125.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,435.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,28.0,44.0,0.0,0.0,200.0,0.0,90.0,355.0,0.0,0.0,0.0,1037.0,15.0,30.0,372.0,252.0
