Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,69.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,1024.0,370.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,44.0,80.0,0.0,83.0,103.0,0.0,290.0,0.0,126.0,113.0,0.0,95.0,362.0,490.0,492.0,0.0,0.0,44.0,68.0,0.0,94.0,259.0
0.0,0.0,77.0,0.0,0.0,0.0,168.0,179.0,0.0,0.0,0.0,1024.0,370.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,44.0,77.0,0.0,90.0,96.0,0.0,244.0,0.0,119.0,0.0,0.0,91.0,345.0,490.0,493.0,0.0,0.0,47.0,71.0,0.0,0.0,253.0
0.0,0.0,85.0,0.0,0.0,0.0,154.0,151.0,0.0,0.0,0.0,1024.0,369.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,43.0,77.0,0.0,97.0,111.0,0.0,208.0,0.0,130.0,0.0,0.0,89.0,331.0,490.0,492.0,0.0,9.0,48.0,82.0,0.0,0.0,280.0
0.0,0.0,78.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1023.0,369.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,43.0,76.0,0.0,87.0,102.0,0.0,229.0,0.0,115.0,0.0,0.0,96.0,326.0,490.0,492.0,0.0,39.0,44.0,85.0,0.0,0.0,270.0
0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,370.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,43.0,74.0,0.0,108.0,128.0,0.0,194.0,0.0,145.0,0.0,0.0,100.0,273.0,489.0,492.0,0.0,41.0,50.0,82.0,0.0,0.0,269.0
0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,368.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,43.0,76.0,0.0,112.0,136.0,0.0,222.0,0.0,154.0,0.0,0.0,96.0,258.0,489.0,492.0,0.0,65.0,56.0,86.0,0.0,0.0,273.0
0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,368.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,44.0,76.0,0.0,135.0,160.0,0.0,169.0,0.0,197.0,0.0,0.0,93.0,253.0,490.0,492.0,0.0,78.0,81.0,108.0,0.0,0.0,268.0
0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,368.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,44.0,77.0,0.0,148.0,167.0,0.0,183.0,0.0,214.0,0.0,0.0,97.0,313.0,489.0,492.0,0.0,78.0,83.0,128.0,0.0,0.0,268.0
