Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,1032.0,0.0,0.0,0.0,0.0,93.0,56.0,50.0,0.0,0.0,0.0,203.0,0.0,0.0,195.0,251.0,123.0,355.0,477.0,496.0,1029.0,1044.0,129.0,151.0,348.0,0.0
0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,1032.0,0.0,0.0,0.0,0.0,100.0,56.0,50.0,0.0,0.0,0.0,205.0,0.0,0.0,197.0,204.0,123.0,296.0,476.0,496.0,1029.0,1045.0,121.0,150.0,349.0,0.0
0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,1034.0,0.0,0.0,0.0,0.0,141.0,73.0,50.0,0.0,0.0,0.0,203.0,0.0,0.0,198.0,241.0,124.0,312.0,475.0,496.0,1029.0,1045.0,126.0,150.0,351.0,0.0
0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,1034.0,0.0,0.0,0.0,0.0,94.0,55.0,50.0,0.0,0.0,0.0,193.0,0.0,0.0,196.0,203.0,124.0,294.0,476.0,496.0,1030.0,1045.0,109.0,136.0,354.0,0.0
0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1034.0,0.0,0.0,0.0,0.0,117.0,64.0,50.0,0.0,0.0,0.0,203.0,0.0,0.0,197.0,209.0,124.0,344.0,476.0,496.0,1030.0,1043.0,122.0,135.0,353.0,0.0
0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1034.0,0.0,0.0,0.0,0.0,91.0,54.0,49.0,0.0,0.0,0.0,203.0,0.0,0.0,199.0,231.0,124.0,354.0,476.0,496.0,1030.0,1043.0,132.0,154.0,355.0,0.0
0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1034.0,0.0,0.0,0.0,0.0,110.0,61.0,50.0,0.0,0.0,0.0,200.0,0.0,0.0,199.0,195.0,124.0,342.0,476.0,494.0,1030.0,1043.0,126.0,151.0,360.0,0.0
0.0,0.0,144.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,1021.0,1035.0,0.0,0.0,0.0,0.0,141.0,72.0,50.0,0.0,0.0,0.0,206.0,0.0,0.0,198.0,242.0,115.0,355.0,476.0,493.0,1030.0,1043.0,125.0,147.0,364.0,0.0
0.0,0.0,148.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1020.0,1035.0,0.0,0.0,0.0,0.0,78.0,48.0,49.0,0.0,0.0,0.0,210.0,0.0,0.0,200.0,241.0,111.0,349.0,476.0,493.0,1029.0,1044.0,138.0,145.0,367.0,0.0
0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,1035.0,0.0,0.0,0.0,0.0,87.0,51.0,50.0,0.0,0.0,0.0,211.0,0.0,0.0,199.0,181.0,105.0,323.0,476.0,493.0,1030.0,1044.0,142.0,163.0,367.0,0.0
