Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Norther Offshore WP,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,437.0,1009.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,54.0,76.0,61.0,0.0,262.0,0.0,84.0,0.0,0.0,98.0,309.0,477.0,489.0,0.0,1039.0,30.0,56.0,0.0,361.0,129.0
0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,437.0,1009.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,48.0,69.0,58.0,0.0,227.0,0.0,76.0,0.0,0.0,89.0,264.0,477.0,490.0,0.0,1039.0,30.0,39.0,0.0,358.0,141.0
0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,437.0,1009.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,34.0,51.0,38.0,0.0,249.0,0.0,49.0,19.0,0.0,89.0,277.0,477.0,490.0,0.0,1037.0,20.0,28.0,0.0,358.0,162.0
0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,437.0,1010.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,32.0,59.0,38.0,0.0,237.0,0.0,48.0,49.0,0.0,89.0,269.0,475.0,489.0,0.0,1035.0,22.0,35.0,0.0,357.0,169.0
0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,437.0,1010.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,29.0,60.0,34.0,0.0,271.0,0.0,44.0,95.0,0.0,89.0,294.0,475.0,490.0,0.0,1035.0,21.0,35.0,0.0,358.0,183.0
0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,438.0,1010.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,32.0,53.0,40.0,0.0,258.0,0.0,50.0,185.0,0.0,89.0,359.0,475.0,490.0,0.0,1036.0,20.0,28.0,0.0,360.0,292.0
0.0,0.0,27.0,0.0,0.0,96.0,0.0,208.0,218.0,456.0,438.0,1009.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,41.0,66.0,46.0,0.0,323.0,0.0,60.0,340.0,0.0,89.0,366.0,475.0,490.0,0.0,1037.0,24.0,44.0,0.0,361.0,224.0
0.0,0.0,38.0,107.0,106.0,116.0,0.0,220.0,223.0,456.0,438.0,1009.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,53.0,65.0,49.0,19.0,357.0,0.0,76.0,342.0,0.0,89.0,397.0,476.0,490.0,0.0,1039.0,25.0,42.0,0.0,362.0,218.0
