Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen,Rentel Offshore WP
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Wind Offshore
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
251.0,142.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,375.0,46.0,41.0,0.0,307.0,205.0,327.0,98.0,395.0,468.0,480.0,1010.0,0.0,28.0,24.0,0.0,302.0,26.0
266.0,147.0,34.0,0.0,0.0,139.0,0.0,0.0,174.0,0.0,0.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,374.0,53.0,55.0,0.0,285.0,205.0,320.0,102.0,391.0,467.0,480.0,1008.0,0.0,34.0,27.0,0.0,299.0,33.0
262.0,146.0,45.0,0.0,87.0,106.0,0.0,125.0,185.0,0.0,0.0,0.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,371.0,69.0,76.0,0.0,256.0,205.0,316.0,104.0,375.0,462.0,480.0,1005.0,0.0,43.0,39.0,0.0,298.0,47.0
257.0,144.0,54.0,0.0,46.0,79.0,0.0,98.0,181.0,0.0,0.0,0.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,367.0,84.0,83.0,0.0,196.0,204.0,312.0,103.0,342.0,457.0,479.0,1003.0,0.0,54.0,56.0,0.0,300.0,52.0
252.0,143.0,53.0,0.0,0.0,138.0,0.0,181.0,184.0,0.0,0.0,0.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,364.0,107.0,97.0,24.0,222.0,204.0,309.0,102.0,361.0,453.0,480.0,1001.0,0.0,51.0,50.0,0.0,297.0,54.0
246.0,141.0,72.0,0.0,0.0,101.0,0.0,2.0,66.0,0.0,0.0,0.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,363.0,118.0,101.0,34.0,284.0,204.0,293.0,101.0,379.0,451.0,479.0,999.0,0.0,48.0,48.0,0.0,296.0,55.0
238.0,139.0,82.0,0.0,0.0,64.0,0.0,63.0,183.0,0.0,0.0,0.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,361.0,117.0,109.0,34.0,267.0,204.0,305.0,93.0,370.0,451.0,478.0,995.0,0.0,57.0,56.0,0.0,296.0,62.0
238.0,138.0,101.0,0.0,0.0,10.0,0.0,37.0,196.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,361.0,136.0,138.0,7.0,284.0,204.0,304.0,89.0,368.0,452.0,474.0,989.0,0.0,71.0,76.0,0.0,298.0,73.0
237.0,138.0,133.0,0.0,0.0,21.0,0.0,0.0,47.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,361.0,153.0,186.0,0.0,262.0,204.0,274.0,89.0,370.0,453.0,474.0,988.0,0.0,129.0,145.0,0.0,297.0,105.0
238.0,138.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,345.0,155.0,190.0,0.0,262.0,204.0,273.0,89.0,367.0,454.0,473.0,989.0,0.0,135.0,156.0,0.0,297.0,108.0
240.0,138.0,133.0,0.0,0.0,111.0,0.0,0.0,164.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,362.0,151.0,185.0,11.0,258.0,204.0,266.0,90.0,372.0,456.0,471.0,991.0,0.0,128.0,146.0,0.0,298.0,108.0
241.0,139.0,134.0,0.0,0.0,71.0,0.0,0.0,120.0,0.0,0.0,0.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,363.0,153.0,191.0,0.0,308.0,204.0,291.0,97.0,373.0,456.0,471.0,991.0,0.0,132.0,160.0,0.0,299.0,108.0
245.0,140.0,128.0,0.0,0.0,79.0,0.0,0.0,128.0,0.0,0.0,0.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,365.0,153.0,185.0,0.0,280.0,205.0,275.0,101.0,379.0,456.0,471.0,992.0,0.0,127.0,147.0,0.0,297.0,108.0
252.0,142.0,142.0,0.0,88.0,100.0,0.0,0.0,7.0,0.0,0.0,0.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,367.0,157.0,197.0,0.0,256.0,205.0,267.0,102.0,383.0,456.0,471.0,995.0,0.0,129.0,153.0,0.0,298.0,107.0
249.0,141.0,156.0,0.0,19.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,367.0,159.0,206.0,0.0,269.0,205.0,268.0,95.0,387.0,458.0,471.0,997.0,0.0,128.0,157.0,0.0,282.0,108.0
259.0,145.0,158.0,0.0,72.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,376.0,159.0,208.0,0.0,280.0,205.0,276.0,89.0,392.0,459.0,471.0,998.0,0.0,135.0,164.0,0.0,284.0,108.0
225.0,133.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,121.0,159.0,206.0,0.0,253.0,205.0,49.0,89.0,336.0,461.0,472.0,1000.0,0.0,136.0,143.0,0.0,290.0,110.0
234.0,136.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,155.0,181.0,0.0,270.0,205.0,0.0,89.0,249.0,463.0,471.0,1002.0,0.0,123.0,130.0,0.0,282.0,112.0
229.0,135.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,149.0,143.0,0.0,258.0,205.0,0.0,89.0,246.0,464.0,472.0,1005.0,0.0,104.0,114.0,0.0,262.0,94.0
226.0,134.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,144.0,135.0,0.0,247.0,205.0,0.0,89.0,326.0,467.0,471.0,1007.0,0.0,98.0,98.0,0.0,250.0,94.0
224.0,133.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,124.0,117.0,0.0,256.0,205.0,0.0,89.0,402.0,467.0,472.0,1008.0,0.0,92.0,99.0,0.0,277.0,82.0
221.0,132.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,109.0,99.0,0.0,243.0,205.0,0.0,89.0,405.0,467.0,473.0,1009.0,0.0,78.0,87.0,0.0,275.0,72.0
247.0,140.0,55.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,113.0,107.0,87.0,6.0,296.0,205.0,30.0,89.0,405.0,467.0,473.0,1009.0,0.0,59.0,60.0,0.0,292.0,56.0
236.0,137.0,62.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,364.0,98.0,91.0,11.0,294.0,205.0,265.0,90.0,401.0,467.0,474.0,1009.0,0.0,6.0,72.0,0.0,304.0,56.0
215.0,130.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,379.0,104.0,101.0,0.0,212.0,205.0,247.0,90.0,403.0,467.0,474.0,1007.0,0.0,0.0,104.0,0.0,302.0,63.0
251.0,142.0,68.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,376.0,106.0,104.0,0.0,236.0,206.0,301.0,89.0,386.0,467.0,474.0,1005.0,0.0,0.0,116.0,0.0,296.0,61.0
259.0,146.0,84.0,0.0,0.0,0.0,81.0,0.0,161.0,0.0,0.0,0.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,372.0,113.0,116.0,0.0,252.0,205.0,275.0,92.0,379.0,465.0,475.0,1001.0,0.0,0.0,126.0,0.0,295.0,64.0
253.0,144.0,77.0,0.0,0.0,0.0,6.0,0.0,147.0,0.0,0.0,0.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,371.0,104.0,117.0,0.0,284.0,205.0,267.0,91.0,384.0,463.0,474.0,1000.0,0.0,0.0,131.0,0.0,277.0,64.0
244.0,141.0,71.0,0.0,0.0,102.0,0.0,0.0,201.0,0.0,0.0,0.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,370.0,95.0,108.0,31.0,328.0,205.0,309.0,89.0,378.0,458.0,474.0,998.0,0.0,0.0,133.0,0.0,290.0,64.0
248.0,142.0,104.0,0.0,0.0,76.0,0.0,0.0,177.0,0.0,0.0,0.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,368.0,127.0,133.0,34.0,296.0,205.0,306.0,89.0,374.0,457.0,474.0,997.0,0.0,0.0,140.0,0.0,303.0,86.0
244.0,141.0,104.0,0.0,0.0,36.0,0.0,0.0,104.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,364.0,133.0,141.0,34.0,287.0,205.0,296.0,92.0,376.0,456.0,474.0,996.0,0.0,0.0,142.0,0.0,299.0,93.0
234.0,138.0,104.0,0.0,95.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,362.0,138.0,139.0,44.0,298.0,206.0,303.0,99.0,379.0,456.0,474.0,997.0,0.0,0.0,139.0,0.0,297.0,115.0
232.0,137.0,96.0,0.0,92.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,360.0,130.0,132.0,69.0,274.0,205.0,294.0,99.0,378.0,456.0,473.0,995.0,0.0,0.0,136.0,0.0,294.0,106.0
237.0,138.0,89.0,0.0,45.0,113.0,0.0,0.0,145.0,0.0,0.0,0.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,362.0,122.0,125.0,69.0,276.0,206.0,304.0,95.0,378.0,456.0,473.0,995.0,0.0,0.0,132.0,0.0,296.0,101.0
240.0,139.0,88.0,0.0,81.0,14.0,0.0,0.0,171.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,363.0,119.0,123.0,67.0,266.0,206.0,305.0,90.0,376.0,456.0,471.0,993.0,0.0,0.0,129.0,0.0,297.0,97.0
255.0,142.0,89.0,0.0,16.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,364.0,123.0,131.0,22.0,261.0,206.0,283.0,89.0,378.0,455.0,470.0,990.0,0.0,0.0,136.0,0.0,296.0,98.0
257.0,143.0,94.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,365.0,128.0,138.0,0.0,286.0,213.0,295.0,89.0,379.0,454.0,469.0,987.0,0.0,0.0,138.0,0.0,294.0,99.0
258.0,143.0,82.0,0.0,31.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,365.0,115.0,119.0,0.0,305.0,216.0,295.0,89.0,381.0,454.0,471.0,988.0,0.0,0.0,131.0,0.0,294.0,95.0
262.0,145.0,74.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,366.0,101.0,104.0,0.0,333.0,216.0,298.0,89.0,382.0,455.0,472.0,989.0,0.0,0.0,129.0,0.0,293.0,89.0
261.0,145.0,69.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,372.0,93.0,94.0,0.0,322.0,216.0,279.0,89.0,382.0,457.0,471.0,991.0,0.0,0.0,120.0,0.0,294.0,81.0
234.0,135.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,127.0,76.0,81.0,0.0,284.0,216.0,305.0,89.0,390.0,457.0,474.0,994.0,0.0,0.0,111.0,0.0,289.0,65.0
