Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
262.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,493.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,373.0,0.0,0.0,0.0,266.0,206.0,0.0,312.0,89.0,350.0,456.0,468.0,0.0,0.0,0.0,0.0,284.0,291.0
264.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,375.0,0.0,0.0,0.0,271.0,206.0,0.0,315.0,89.0,350.0,457.0,468.0,0.0,0.0,0.0,0.0,284.0,292.0
266.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,376.0,0.0,0.0,0.0,273.0,206.0,0.0,316.0,89.0,352.0,459.0,468.0,0.0,0.0,0.0,0.0,254.0,292.0
266.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,376.0,0.0,0.0,0.0,280.0,207.0,0.0,317.0,89.0,358.0,461.0,469.0,0.0,0.0,0.0,0.0,230.0,291.0
264.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,377.0,0.0,0.0,0.0,277.0,207.0,0.0,317.0,89.0,353.0,463.0,468.0,0.0,0.0,0.0,0.0,323.0,290.0
266.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,376.0,0.0,0.0,0.0,264.0,206.0,0.0,317.0,89.0,348.0,464.0,468.0,0.0,0.0,0.0,0.0,335.0,289.0
267.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,375.0,0.0,0.0,0.0,251.0,207.0,1.0,301.0,92.0,329.0,464.0,468.0,0.0,0.0,0.0,0.0,333.0,296.0
264.0,146.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,666.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,371.0,0.0,0.0,0.0,271.0,206.0,0.0,318.0,97.0,347.0,464.0,468.0,0.0,0.0,0.0,0.0,344.0,295.0
260.0,145.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,688.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,367.0,0.0,0.0,0.0,259.0,206.0,0.0,310.0,104.0,336.0,463.0,467.0,0.0,0.0,0.0,0.0,348.0,296.0
254.0,143.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,717.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,363.0,0.0,0.0,0.0,225.0,206.0,0.0,306.0,101.0,321.0,463.0,467.0,0.0,0.0,0.0,0.0,344.0,294.0
248.0,141.0,0.0,0.0,0.0,80.0,0.0,0.0,108.0,0.0,0.0,742.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,360.0,0.0,1.0,0.0,210.0,206.0,0.0,303.0,100.0,302.0,461.0,466.0,0.0,0.0,0.0,0.0,341.0,296.0
