Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
272.0,151.0,16.0,0.0,0.0,0.0,0.0,0.0,48.0,435.0,438.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,19.0,0.0,286.0,207.0,232.0,119.0,366.0,0.0,0.0,1017.0,1038.0,1.0,10.0,362.0,299.0
181.0,123.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,438.0,0.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,53.0,6.0,0.0,260.0,208.0,186.0,119.0,396.0,0.0,0.0,1017.0,1038.0,0.0,1.0,362.0,238.0
99.0,96.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,437.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,241.0,38.0,0.0,226.0,208.0,134.0,119.0,405.0,0.0,0.0,1016.0,1039.0,1.0,8.0,365.0,239.0
107.0,96.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,437.0,0.0,1030.0,0.0,0.0,0.0,5.0,0.0,0.0,85.0,0.0,0.0,380.0,136.0,0.0,225.0,167.0,179.0,119.0,305.0,0.0,0.0,1016.0,1039.0,11.0,46.0,365.0,230.0
148.0,111.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,437.0,0.0,1031.0,0.0,0.0,0.0,65.0,0.0,16.0,70.0,0.0,0.0,360.0,86.0,0.0,248.0,103.0,218.0,113.0,250.0,0.0,0.0,1016.0,1038.0,8.0,23.0,370.0,203.0
241.0,141.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,437.0,0.0,1032.0,0.0,0.0,0.0,104.0,35.0,57.0,103.0,0.0,0.0,382.0,92.0,0.0,233.0,147.0,151.0,105.0,373.0,0.0,0.0,1016.0,1037.0,33.0,30.0,370.0,204.0
273.0,152.0,106.0,0.0,0.0,0.0,0.0,0.0,17.0,435.0,437.0,0.0,1032.0,30.0,0.0,0.0,146.0,137.0,142.0,129.0,0.0,0.0,339.0,118.0,0.0,302.0,207.0,287.0,105.0,407.0,0.0,0.0,1016.0,1036.0,55.0,64.0,370.0,298.0
282.0,154.0,122.0,0.0,0.0,0.0,0.0,0.0,178.0,436.0,439.0,0.0,1030.0,114.0,109.0,0.0,158.0,152.0,157.0,129.0,0.0,0.0,339.0,124.0,0.0,342.0,208.0,321.0,105.0,409.0,0.0,0.0,1016.0,1035.0,63.0,61.0,369.0,301.0
283.0,154.0,89.0,0.0,0.0,0.0,0.0,0.0,12.0,435.0,439.0,0.0,1033.0,103.0,109.0,0.0,158.0,153.0,158.0,129.0,0.0,0.0,339.0,96.0,0.0,339.0,208.0,312.0,105.0,409.0,0.0,0.0,1016.0,1036.0,39.0,51.0,371.0,298.0
283.0,155.0,41.0,0.0,0.0,106.0,0.0,0.0,63.0,435.0,439.0,0.0,1033.0,100.0,106.0,0.0,158.0,152.0,158.0,129.0,0.0,0.0,339.0,42.0,0.0,350.0,207.0,343.0,109.0,409.0,0.0,0.0,1016.0,1036.0,25.0,28.0,372.0,299.0
283.0,155.0,42.0,0.0,0.0,63.0,0.0,0.0,43.0,435.0,438.0,0.0,1033.0,87.0,90.0,0.0,157.0,151.0,158.0,132.0,0.0,0.0,339.0,59.0,0.0,296.0,207.0,348.0,109.0,409.0,0.0,0.0,1016.0,1035.0,24.0,29.0,373.0,299.0
