Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Norther Offshore WP,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
270.0,149.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,432.0,0.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,384.0,12.0,35.0,10.0,0.0,302.0,201.0,17.0,318.0,0.0,98.0,370.0,468.0,478.0,0.0,1022.0,3.0,8.0,0.0,320.0,127.0
272.0,150.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,432.0,0.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,386.0,24.0,43.0,19.0,0.0,285.0,202.0,31.0,318.0,0.0,98.0,358.0,468.0,478.0,0.0,1023.0,5.0,22.0,0.0,320.0,129.0
273.0,150.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,432.0,0.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,386.0,35.0,118.0,45.0,0.0,229.0,202.0,76.0,303.0,0.0,98.0,354.0,470.0,478.0,0.0,1023.0,22.0,39.0,0.0,323.0,130.0
256.0,146.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,432.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,387.0,80.0,194.0,99.0,0.0,178.0,201.0,140.0,287.0,0.0,98.0,354.0,471.0,478.0,0.0,1023.0,47.0,83.0,0.0,321.0,138.0
191.0,121.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,432.0,0.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,387.0,94.0,244.0,114.0,0.0,224.0,202.0,155.0,308.0,0.0,99.0,353.0,470.0,478.0,0.0,1024.0,52.0,75.0,0.0,321.0,134.0
205.0,128.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,433.0,0.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,387.0,84.0,241.0,95.0,0.0,186.0,203.0,128.0,293.0,0.0,100.0,353.0,467.0,478.0,0.0,1026.0,45.0,90.0,0.0,320.0,138.0
155.0,109.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,432.0,0.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,386.0,94.0,270.0,112.0,0.0,183.0,203.0,160.0,289.0,0.0,98.0,351.0,466.0,479.0,0.0,1028.0,54.0,94.0,0.0,322.0,137.0
263.0,145.0,43.0,11.0,0.0,0.0,0.0,0.0,133.0,447.0,433.0,0.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,386.0,52.0,203.0,74.0,0.0,215.0,204.0,124.0,305.0,0.0,89.0,352.0,464.0,479.0,0.0,1028.0,44.0,54.0,0.0,322.0,125.0
