Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,433.0,981.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,127.0,0.0,0.0,209.0,214.0,92.0,282.0,0.0,0.0,1012.0,1029.0,50.0,98.0,229.0,270.0
0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,433.0,982.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,140.0,0.0,0.0,209.0,216.0,92.0,289.0,0.0,0.0,1011.0,1029.0,55.0,111.0,229.0,258.0
0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,433.0,983.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,197.0,0.0,0.0,196.0,206.0,92.0,305.0,0.0,0.0,1012.0,1029.0,76.0,124.0,229.0,264.0
0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,434.0,985.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,198.0,0.0,0.0,141.0,209.0,92.0,303.0,0.0,0.0,1011.0,1030.0,104.0,151.0,229.0,262.0
0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,433.0,985.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,204.0,0.0,0.0,165.0,208.0,92.0,303.0,0.0,0.0,1013.0,1030.0,118.0,161.0,229.0,259.0
0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,433.0,985.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,185.0,0.0,0.0,165.0,255.0,92.0,340.0,0.0,0.0,1014.0,1030.0,99.0,148.0,330.0,259.0
0.0,0.0,123.0,0.0,0.0,0.0,148.0,0.0,0.0,429.0,433.0,984.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,196.0,16.0,0.0,170.0,238.0,92.0,333.0,0.0,0.0,1014.0,1030.0,102.0,153.0,336.0,220.0
0.0,0.0,117.0,0.0,0.0,0.0,8.0,0.0,0.0,429.0,434.0,983.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,198.0,0.0,0.0,208.0,227.0,92.0,330.0,0.0,0.0,1014.0,1030.0,103.0,141.0,337.0,257.0
12.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,434.0,981.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,190.0,0.0,0.0,208.0,247.0,94.0,340.0,0.0,0.0,1014.0,1029.0,91.0,151.0,336.0,213.0
25.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,433.0,985.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,175.0,0.0,0.0,209.0,234.0,100.0,330.0,0.0,0.0,1014.0,1029.0,83.0,142.0,340.0,274.0
25.0,0.0,107.0,110.0,0.0,114.0,170.0,0.0,0.0,428.0,433.0,985.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,141.0,0.0,0.0,209.0,299.0,112.0,325.0,0.0,0.0,1014.0,1029.0,63.0,118.0,337.0,266.0
