Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,SERAING TV
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
233.0,135.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,0.0,134.0,0.0,72.0,0.0,87.0,51.0,24.0,0.0,132.0,106.0,0.0,271.0,0.0,186.0,313.0,91.0,381.0,0.0,0.0,0.0,0.0,97.0,114.0,0.0,274.0,,,
223.0,133.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,0.0,134.0,0.0,72.0,0.0,86.0,51.0,24.0,0.0,136.0,119.0,0.0,266.0,0.0,203.0,312.0,90.0,327.0,0.0,0.0,0.0,0.0,110.0,134.0,0.0,255.0,,,
241.0,137.0,113.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.0,0.0,134.0,0.0,71.0,0.0,89.0,52.0,24.0,0.0,154.0,145.0,0.0,275.0,0.0,230.0,312.0,86.0,378.0,0.0,0.0,0.0,0.0,131.0,152.0,0.0,281.0,,,
241.0,138.0,112.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.0,0.0,134.0,65.0,87.0,0.0,116.0,62.0,24.0,0.0,159.0,172.0,14.0,322.0,0.0,251.0,313.0,87.0,382.0,0.0,0.0,0.0,0.0,128.0,155.0,0.0,288.0,,,
235.0,136.0,132.0,20.0,0.0,0.0,0.0,3.0,93.0,0.0,0.0,1008.0,0.0,134.0,139.0,153.0,0.0,103.0,58.0,24.0,0.0,154.0,160.0,36.0,306.0,0.0,236.0,316.0,87.0,383.0,0.0,0.0,0.0,0.0,129.0,140.0,0.0,295.0,,,
262.0,146.0,118.0,90.0,0.0,83.0,0.0,65.0,153.0,0.0,0.0,1008.0,0.0,135.0,141.0,155.0,0.0,128.0,67.0,24.0,0.0,147.0,184.0,68.0,290.0,0.0,263.0,317.0,87.0,386.0,0.0,0.0,0.0,0.0,134.0,154.0,0.0,295.0,,,
266.0,147.0,137.0,7.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,1009.0,0.0,114.0,118.0,140.0,0.0,136.0,69.0,24.0,0.0,157.0,186.0,34.0,256.0,0.0,260.0,320.0,87.0,388.0,0.0,0.0,0.0,0.0,129.0,148.0,0.0,296.0,,,
269.0,148.0,128.0,107.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,1009.0,0.0,135.0,138.0,151.0,0.0,136.0,69.0,24.0,0.0,159.0,155.0,34.0,294.0,0.0,236.0,321.0,87.0,389.0,0.0,0.0,0.0,0.0,130.0,144.0,0.0,294.0,,,
274.0,149.0,104.0,104.0,0.0,94.0,0.0,159.0,182.0,0.0,0.0,1009.0,0.0,138.0,143.0,156.0,0.0,136.0,70.0,24.0,0.0,158.0,165.0,34.0,322.0,0.0,253.0,321.0,87.0,392.0,0.0,0.0,0.0,0.0,116.0,146.0,0.0,292.0,,,
276.0,150.0,99.0,118.0,0.0,91.0,0.0,13.0,137.0,0.0,0.0,1009.0,0.0,138.0,143.0,156.0,0.0,113.0,62.0,24.0,0.0,150.0,166.0,46.0,293.0,0.0,221.0,322.0,88.0,394.0,0.0,0.0,0.0,0.0,105.0,131.0,0.0,291.0,,,
271.0,149.0,88.0,68.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,138.0,143.0,156.0,0.0,101.0,58.0,24.0,0.0,148.0,131.0,2.0,292.0,0.0,176.0,319.0,88.0,396.0,0.0,0.0,0.0,0.0,103.0,117.0,104.0,296.0,,,
272.0,149.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,137.0,11.0,85.0,0.0,111.0,61.0,24.0,0.0,148.0,123.0,0.0,313.0,0.0,149.0,237.0,89.0,390.0,0.0,0.0,0.0,0.0,94.0,115.0,223.0,299.0,,,
214.0,130.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,84.0,0.0,54.0,0.0,84.0,52.0,24.0,0.0,125.0,90.0,0.0,205.0,0.0,127.0,158.0,87.0,325.0,0.0,0.0,0.0,0.0,89.0,109.0,229.0,286.0,,,
233.0,135.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,78.0,0.0,50.0,0.0,101.0,59.0,24.0,0.0,100.0,65.0,0.0,286.0,0.0,75.0,129.0,88.0,241.0,0.0,0.0,0.0,0.0,47.0,69.0,229.0,239.0,,,
232.0,136.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,78.0,0.0,50.0,0.0,104.0,60.0,24.0,0.0,72.0,40.0,0.0,292.0,0.0,49.0,129.0,89.0,241.0,0.0,0.0,0.0,0.0,36.0,52.0,229.0,269.0,,,
143.0,105.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,78.0,0.0,50.0,0.0,89.0,54.0,24.0,0.0,69.0,37.0,0.0,221.0,0.0,50.0,129.0,89.0,241.0,0.0,0.0,0.0,0.0,42.0,59.0,229.0,284.0,,,
145.0,106.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,0.0,78.0,0.0,50.0,0.0,113.0,62.0,24.0,0.0,46.0,25.0,0.0,255.0,0.0,57.0,128.0,89.0,241.0,0.0,0.0,0.0,0.0,69.0,83.0,229.0,292.0,,,
167.0,113.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,0.0,78.0,0.0,50.0,0.0,107.0,61.0,24.0,0.0,42.0,20.0,0.0,241.0,0.0,46.0,128.0,89.0,240.0,0.0,0.0,0.0,0.0,54.0,70.0,229.0,241.0,,,
164.0,110.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,0.0,88.0,0.0,54.0,0.0,117.0,65.0,24.0,0.0,70.0,45.0,0.0,262.0,0.0,91.0,152.0,89.0,243.0,0.0,0.0,0.0,0.0,45.0,72.0,229.0,222.0,,,
190.0,121.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,0.0,95.0,0.0,57.0,0.0,80.0,52.0,24.0,0.0,97.0,73.0,0.0,193.0,0.0,142.0,166.0,90.0,252.0,0.0,0.0,0.0,0.0,61.0,94.0,229.0,163.0,,,
129.0,102.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,0.0,90.0,0.0,56.0,0.0,78.0,50.0,24.0,0.0,95.0,65.0,0.0,204.0,0.0,120.0,159.0,89.0,240.0,0.0,0.0,0.0,0.0,54.0,68.0,229.0,141.0,,,
140.0,103.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,96.0,0.0,58.0,0.0,75.0,48.0,24.0,0.0,109.0,68.0,0.0,201.0,0.0,92.0,179.0,80.0,240.0,0.0,0.0,0.0,0.0,49.0,60.0,229.0,126.0,,,
