Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
294.0,154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,0.0,119.0,69.0,151.0,152.0,124.0,25.0,81.0,105.0,391.0,3.0,2.0,0.0,266.0,204.0,8.0,325.0,158.0,125.0,416.0,481.0,494.0,0.0,0.0,1.0,7.0,0.0,378.0,228.0
215.0,131.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,0.0,106.0,64.0,87.0,88.0,124.0,0.0,65.0,92.0,389.0,9.0,8.0,0.0,224.0,204.0,16.0,261.0,119.0,125.0,359.0,481.0,494.0,0.0,0.0,5.0,12.0,0.0,379.0,179.0
199.0,126.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,110.0,65.0,104.0,105.0,123.0,0.0,65.0,88.0,226.0,11.0,11.0,0.0,232.0,204.0,16.0,280.0,127.0,125.0,266.0,481.0,494.0,0.0,0.0,5.0,8.0,0.0,378.0,143.0
189.0,123.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,117.0,68.0,79.0,81.0,124.0,0.0,66.0,82.0,174.0,6.0,3.0,0.0,253.0,203.0,4.0,264.0,112.0,125.0,266.0,482.0,494.0,0.0,0.0,1.0,2.0,0.0,377.0,124.0
186.0,123.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,127.0,72.0,80.0,81.0,124.0,0.0,65.0,90.0,175.0,8.0,2.0,0.0,292.0,190.0,4.0,270.0,112.0,125.0,344.0,481.0,494.0,0.0,0.0,0.0,2.0,0.0,382.0,129.0
211.0,127.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,120.0,70.0,147.0,148.0,124.0,46.0,75.0,105.0,357.0,5.0,1.0,0.0,268.0,190.0,3.0,267.0,154.0,125.0,413.0,482.0,494.0,0.0,0.0,0.0,1.0,0.0,380.0,151.0
293.0,154.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,133.0,74.0,145.0,147.0,124.0,145.0,140.0,117.0,388.0,2.0,0.0,0.0,296.0,204.0,0.0,339.0,155.0,125.0,408.0,484.0,494.0,0.0,0.0,0.0,0.0,5.0,380.0,136.0
293.0,154.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1023.0,0.0,0.0,155.0,81.0,156.0,156.0,123.0,158.0,148.0,120.0,363.0,0.0,0.0,0.0,296.0,204.0,0.0,329.0,161.0,125.0,402.0,484.0,494.0,0.0,0.0,0.0,0.0,226.0,379.0,159.0
