Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
182.0,123.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,438.0,1020.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,160.0,153.0,0.0,13.0,0.0,271.0,208.0,18.0,107.0,335.0,0.0,0.0,1025.0,1042.0,3.0,2.0,243.0,221.0
133.0,106.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,439.0,1019.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,127.0,96.0,0.0,13.0,0.0,208.0,208.0,0.0,110.0,288.0,0.0,0.0,1025.0,1042.0,2.0,3.0,229.0,245.0
110.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,438.0,1019.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,77.0,73.0,0.0,7.0,0.0,203.0,209.0,0.0,111.0,256.0,0.0,0.0,1025.0,1042.0,1.0,2.0,229.0,256.0
127.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,439.0,1018.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,71.0,69.0,0.0,3.0,0.0,218.0,209.0,0.0,111.0,242.0,0.0,0.0,1025.0,1042.0,1.0,2.0,229.0,247.0
151.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,438.0,1018.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,72.0,72.0,0.0,1.0,0.0,236.0,209.0,0.0,111.0,244.0,0.0,0.0,1025.0,1042.0,1.0,1.0,229.0,202.0
139.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,438.0,1019.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,121.0,122.0,12.0,0.0,0.0,262.0,208.0,0.0,111.0,243.0,0.0,0.0,1025.0,1042.0,2.0,1.0,350.0,210.0
151.0,111.0,0.0,0.0,7.0,0.0,42.0,0.0,0.0,436.0,439.0,1019.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,165.0,157.0,193.0,0.0,0.0,261.0,209.0,8.0,111.0,355.0,0.0,0.0,1025.0,1042.0,0.0,0.0,362.0,227.0
254.0,143.0,0.0,0.0,107.0,0.0,159.0,0.0,84.0,436.0,439.0,1018.0,1032.0,0.0,0.0,0.0,0.0,15.0,0.0,100.0,206.0,206.0,350.0,3.0,8.0,287.0,209.0,0.0,114.0,392.0,0.0,0.0,1024.0,1042.0,1.0,0.0,364.0,294.0
292.0,155.0,0.0,67.0,105.0,113.0,157.0,0.0,166.0,436.0,439.0,1017.0,1031.0,0.0,0.0,0.0,0.0,106.0,40.0,99.0,221.0,217.0,385.0,0.0,0.0,274.0,209.0,0.0,124.0,397.0,0.0,0.0,1024.0,1042.0,0.0,0.0,366.0,302.0
272.0,152.0,0.0,1.0,89.0,1.0,135.0,0.0,2.0,436.0,438.0,1018.0,1031.0,0.0,0.0,0.0,0.0,153.0,76.0,101.0,218.0,219.0,385.0,0.0,0.0,297.0,209.0,0.0,126.0,402.0,0.0,0.0,1024.0,1043.0,0.0,0.0,364.0,302.0
267.0,150.0,0.0,0.0,80.0,0.0,98.0,0.0,0.0,436.0,438.0,1018.0,1031.0,0.0,0.0,0.0,0.0,116.0,64.0,101.0,218.0,219.0,385.0,0.0,0.0,274.0,209.0,0.0,126.0,393.0,0.0,0.0,1028.0,1043.0,0.0,0.0,364.0,299.0
