Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Norther Offshore WP,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
261.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,438.0,1011.0,1028.0,0.0,0.0,0.0,0.0,0.0,124.0,105.0,135.0,103.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,28.0,0.0,89.0,350.0,483.0,491.0,0.0,1041.0,0.0,0.0,0.0,279.0,255.0
246.0,141.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,455.0,438.0,1010.0,1028.0,0.0,0.0,0.0,0.0,0.0,124.0,105.0,135.0,103.0,0.0,0.0,2.0,0.0,0.0,285.0,0.0,4.0,0.0,0.0,83.0,369.0,483.0,491.0,0.0,1041.0,3.0,2.0,0.0,279.0,262.0
254.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,438.0,1011.0,1030.0,0.0,0.0,0.0,0.0,0.0,124.0,105.0,135.0,103.0,0.0,3.0,1.0,1.0,0.0,289.0,0.0,3.0,0.0,0.0,79.0,371.0,484.0,491.0,0.0,1041.0,1.0,1.0,0.0,279.0,268.0
270.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,438.0,1011.0,1030.0,0.0,0.0,0.0,0.0,0.0,124.0,106.0,135.0,103.0,0.0,3.0,0.0,1.0,0.0,276.0,0.0,1.0,0.0,0.0,77.0,366.0,485.0,491.0,0.0,1040.0,0.0,0.0,0.0,279.0,248.0
249.0,143.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,438.0,1012.0,1031.0,0.0,0.0,0.0,0.0,0.0,124.0,106.0,135.0,103.0,0.0,7.0,0.0,1.0,0.0,279.0,0.0,1.0,0.0,0.0,76.0,359.0,486.0,491.0,0.0,1040.0,0.0,0.0,0.0,279.0,275.0
253.0,143.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,454.0,438.0,1013.0,1031.0,0.0,0.0,0.0,0.0,0.0,124.0,106.0,135.0,103.0,118.0,2.0,0.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,75.0,371.0,486.0,491.0,0.0,1040.0,0.0,0.0,0.0,279.0,267.0
272.0,149.0,0.0,0.0,3.0,0.0,2.0,20.0,0.0,456.0,438.0,1012.0,1031.0,0.0,0.0,0.0,0.0,0.0,124.0,106.0,135.0,103.0,370.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,75.0,376.0,485.0,491.0,0.0,1039.0,0.0,0.0,0.0,279.0,280.0
295.0,156.0,0.0,114.0,128.0,125.0,186.0,185.0,0.0,457.0,438.0,1013.0,1032.0,0.0,0.0,0.0,0.0,0.0,124.0,106.0,135.0,109.0,392.0,0.0,0.0,0.0,29.0,296.0,0.0,0.0,0.0,0.0,75.0,374.0,483.0,491.0,0.0,1037.0,0.0,0.0,0.0,279.0,308.0
