Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
253.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,99.0,58.0,97.0,383.0,0.0,0.0,0.0,353.0,205.0,0.0,314.0,94.0,361.0,458.0,484.0,0.0,0.0,0.0,0.0,0.0,280.0
243.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,98.0,58.0,96.0,383.0,0.0,0.0,0.0,355.0,205.0,0.0,312.0,94.0,362.0,458.0,484.0,0.0,0.0,0.0,0.0,0.0,293.0
245.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,103.0,61.0,101.0,383.0,0.0,0.0,5.0,354.0,205.0,0.0,309.0,94.0,365.0,459.0,485.0,0.0,0.0,0.0,0.0,0.0,285.0
272.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,84.0,53.0,100.0,384.0,0.0,0.0,13.0,355.0,205.0,0.0,311.0,94.0,350.0,458.0,484.0,0.0,0.0,0.0,0.0,0.0,293.0
274.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,97.0,59.0,98.0,384.0,0.0,0.0,0.0,357.0,205.0,0.0,289.0,94.0,361.0,457.0,485.0,0.0,0.0,0.0,0.0,0.0,287.0
277.0,151.0,0.0,69.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,137.0,72.0,93.0,385.0,0.0,0.0,0.0,354.0,205.0,0.0,330.0,94.0,325.0,458.0,485.0,0.0,0.0,0.0,0.0,0.0,289.0
278.0,151.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1008.0,0.0,0.0,0.0,0.0,0.0,28.0,12.0,96.0,388.0,0.0,0.0,0.0,353.0,205.0,0.0,245.0,94.0,322.0,457.0,485.0,0.0,0.0,0.0,0.0,0.0,292.0
282.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,389.0,0.0,0.0,0.0,352.0,205.0,0.0,221.0,94.0,335.0,457.0,485.0,0.0,0.0,0.0,0.0,0.0,290.0
283.0,152.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,392.0,2.0,0.0,0.0,350.0,205.0,0.0,212.0,94.0,336.0,457.0,485.0,0.0,0.0,0.0,0.0,0.0,293.0
249.0,143.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,122.0,6.0,3.0,0.0,358.0,205.0,3.0,64.0,94.0,345.0,458.0,485.0,0.0,0.0,0.0,0.0,0.0,282.0
240.0,140.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,11.0,7.0,0.0,358.0,205.0,10.0,0.0,94.0,314.0,459.0,485.0,0.0,0.0,1.0,4.0,0.0,294.0
126.0,103.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,22.0,17.0,0.0,359.0,205.0,23.0,0.0,94.0,280.0,461.0,485.0,0.0,0.0,8.0,15.0,0.0,293.0
235.0,137.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,23.0,18.0,0.0,359.0,205.0,23.0,0.0,94.0,288.0,461.0,485.0,0.0,0.0,6.0,13.0,0.0,293.0
232.0,136.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,26.0,22.0,0.0,358.0,205.0,28.0,0.0,94.0,278.0,461.0,485.0,0.0,0.0,7.0,16.0,0.0,295.0
243.0,139.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,33.0,33.0,0.0,357.0,205.0,40.0,122.0,94.0,294.0,461.0,485.0,0.0,0.0,12.0,23.0,0.0,290.0
291.0,154.0,14.0,20.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,21.0,32.0,0.0,358.0,205.0,45.0,295.0,94.0,366.0,462.0,485.0,0.0,0.0,15.0,31.0,0.0,296.0
292.0,154.0,5.0,120.0,0.0,0.0,0.0,19.0,168.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9.0,14.0,0.0,358.0,205.0,20.0,343.0,94.0,384.0,463.0,485.0,0.0,0.0,14.0,18.0,0.0,298.0
292.0,155.0,11.0,92.0,0.0,0.0,0.0,118.0,159.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,15.0,17.0,0.0,358.0,205.0,18.0,347.0,94.0,361.0,463.0,485.0,0.0,0.0,7.0,10.0,0.0,298.0
289.0,154.0,31.0,87.0,0.0,7.0,0.0,62.0,146.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,45.0,50.0,0.0,358.0,205.0,43.0,344.0,94.0,328.0,463.0,485.0,0.0,0.0,12.0,23.0,0.0,297.0
277.0,151.0,46.0,41.0,0.0,10.0,0.0,0.0,60.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,65.0,67.0,0.0,350.0,205.0,67.0,273.0,94.0,307.0,463.0,485.0,0.0,0.0,21.0,40.0,0.0,294.0
