Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,ESCH-SUR-ALZETTE STEG,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
194.0,125.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,1034.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,94.0,198.0,207.0,0.0,51.0,0.0,224.0,208.0,0.0,105.0,0.0,496.0,488.0,0.0,1003.0,24.0,26.0,0.0,247.0
215.0,131.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,1034.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,97.0,204.0,210.0,0.0,33.0,0.0,259.0,210.0,0.0,107.0,0.0,496.0,488.0,0.0,1003.0,13.0,17.0,0.0,246.0
212.0,131.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,1034.0,0.0,0.0,0.0,351.0,0.0,0.0,0.0,97.0,206.0,209.0,0.0,36.0,0.0,257.0,208.0,0.0,113.0,0.0,496.0,488.0,0.0,1004.0,16.0,22.0,0.0,270.0
228.0,136.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,1034.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,100.0,206.0,210.0,0.0,30.0,0.0,292.0,208.0,0.0,106.0,0.0,496.0,488.0,0.0,1004.0,7.0,9.0,0.0,266.0
234.0,137.0,36.0,2.0,57.0,0.0,31.0,0.0,6.0,0.0,441.0,0.0,1034.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,100.0,207.0,211.0,0.0,51.0,4.0,297.0,208.0,0.0,105.0,0.0,496.0,488.0,0.0,1003.0,17.0,25.0,0.0,265.0
287.0,154.0,26.0,109.0,138.0,108.0,160.0,92.0,155.0,0.0,441.0,0.0,1033.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,103.0,206.0,207.0,0.0,41.0,22.0,294.0,208.0,0.0,105.0,0.0,495.0,488.0,0.0,1003.0,20.0,23.0,0.0,257.0
288.0,154.0,22.0,114.0,139.0,108.0,171.0,162.0,174.0,0.0,441.0,0.0,1033.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,115.0,204.0,207.0,0.0,34.0,39.0,320.0,208.0,0.0,105.0,0.0,494.0,488.0,0.0,1003.0,10.0,16.0,0.0,228.0
244.0,142.0,22.0,1.0,107.0,0.0,5.0,0.0,132.0,0.0,440.0,0.0,1034.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,108.0,205.0,209.0,0.0,35.0,48.0,300.0,209.0,0.0,105.0,0.0,490.0,491.0,0.0,1003.0,9.0,18.0,0.0,273.0
227.0,136.0,27.0,0.0,20.0,0.0,0.0,0.0,48.0,0.0,441.0,0.0,1034.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,103.0,206.0,208.0,0.0,40.0,0.0,283.0,209.0,0.0,105.0,0.0,491.0,490.0,0.0,1003.0,12.0,25.0,0.0,261.0
232.0,138.0,35.0,0.0,58.0,0.0,88.0,0.0,0.0,0.0,441.0,0.0,1034.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,103.0,210.0,210.0,0.0,45.0,0.0,293.0,208.0,0.0,105.0,0.0,491.0,490.0,0.0,1003.0,15.0,24.0,0.0,184.0
232.0,138.0,28.0,18.0,92.0,0.0,133.0,0.0,0.0,0.0,440.0,0.0,1034.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,105.0,210.0,208.0,0.0,41.0,0.0,294.0,208.0,0.0,105.0,0.0,491.0,490.0,0.0,1003.0,12.0,19.0,0.0,248.0
211.0,129.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1035.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,105.0,206.0,156.0,0.0,63.0,0.0,302.0,209.0,0.0,105.0,0.0,491.0,490.0,0.0,1003.0,15.0,27.0,0.0,267.0
237.0,140.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1036.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,106.0,207.0,119.0,0.0,78.0,0.0,291.0,209.0,0.0,105.0,0.0,491.0,490.0,0.0,1003.0,24.0,35.0,0.0,262.0
244.0,141.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,216.0,99.0,0.0,59.0,0.0,303.0,209.0,0.0,105.0,0.0,491.0,490.0,0.0,1003.0,20.0,29.0,0.0,234.0
204.0,129.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,218.0,100.0,0.0,58.0,0.0,229.0,209.0,0.0,105.0,0.0,491.0,490.0,0.0,1003.0,21.0,27.0,0.0,253.0
243.0,141.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,218.0,100.0,0.0,47.0,0.0,288.0,209.0,0.0,105.0,0.0,491.0,490.0,0.0,1002.0,19.0,24.0,0.0,246.0
241.0,141.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,219.0,110.0,0.0,46.0,0.0,302.0,209.0,0.0,105.0,0.0,491.0,490.0,0.0,1002.0,15.0,19.0,0.0,222.0
235.0,140.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,217.0,143.0,0.0,27.0,0.0,291.0,209.0,0.0,105.0,0.0,491.0,490.0,0.0,1002.0,10.0,15.0,0.0,252.0
233.0,139.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,218.0,200.0,0.0,9.0,0.0,294.0,209.0,0.0,105.0,0.0,491.0,490.0,0.0,1002.0,3.0,5.0,0.0,260.0
259.0,146.0,17.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,217.0,212.0,0.0,19.0,0.0,327.0,208.0,0.0,105.0,0.0,491.0,490.0,0.0,1002.0,6.0,10.0,0.0,234.0
231.0,139.0,19.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,225.0,216.0,0.0,32.0,0.0,291.0,209.0,0.0,105.0,0.0,491.0,490.0,0.0,1002.0,11.0,17.0,0.0,271.0
229.0,138.0,28.0,0.0,123.0,0.0,13.0,0.0,0.0,0.0,440.0,0.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,213.0,214.0,0.0,39.0,0.0,286.0,209.0,0.0,105.0,0.0,491.0,490.0,0.0,1001.0,14.0,24.0,0.0,233.0
227.0,137.0,49.0,0.0,26.0,0.0,120.0,0.0,0.0,0.0,439.0,0.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,214.0,212.0,0.0,69.0,0.0,282.0,209.0,0.0,105.0,0.0,491.0,490.0,0.0,1001.0,34.0,51.0,0.0,248.0
237.0,140.0,79.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,440.0,0.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,214.0,210.0,0.0,105.0,0.0,294.0,209.0,0.0,105.0,0.0,491.0,489.0,0.0,1001.0,48.0,69.0,0.0,273.0
185.0,123.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,209.0,206.0,0.0,140.0,0.0,199.0,209.0,0.0,105.0,0.0,493.0,488.0,0.0,1001.0,68.0,101.0,0.0,241.0
187.0,122.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,188.0,181.0,0.0,193.0,0.0,200.0,209.0,0.0,105.0,0.0,496.0,489.0,0.0,1000.0,102.0,142.0,0.0,273.0
200.0,126.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,180.0,175.0,0.0,204.0,0.0,218.0,209.0,0.0,116.0,0.0,495.0,488.0,0.0,1000.0,112.0,154.0,0.0,222.0
205.0,128.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,179.0,173.0,0.0,209.0,0.0,224.0,209.0,0.0,105.0,0.0,495.0,489.0,0.0,1000.0,126.0,161.0,0.0,248.0
204.0,128.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,198.0,200.0,0.0,211.0,0.0,225.0,209.0,0.0,105.0,0.0,495.0,488.0,0.0,1000.0,131.0,166.0,0.0,251.0
270.0,147.0,159.0,92.0,125.0,55.0,145.0,41.0,82.0,0.0,441.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,205.0,207.0,0.0,211.0,13.0,251.0,209.0,0.0,105.0,0.0,495.0,489.0,0.0,1000.0,136.0,171.0,0.0,259.0
275.0,150.0,156.0,67.0,138.0,37.0,124.0,7.0,145.0,0.0,441.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,212.0,208.0,0.0,211.0,5.0,238.0,209.0,0.0,105.0,0.0,495.0,489.0,0.0,999.0,136.0,171.0,0.0,244.0
266.0,147.0,65.0,50.0,138.0,0.0,123.0,0.0,67.0,0.0,440.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,215.0,208.0,0.0,211.0,0.0,238.0,209.0,0.0,105.0,0.0,495.0,489.0,0.0,1000.0,137.0,171.0,0.0,252.0
195.0,126.0,43.0,0.0,53.0,0.0,68.0,0.0,0.0,0.0,440.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,213.0,207.0,0.0,199.0,0.0,208.0,209.0,0.0,105.0,0.0,495.0,488.0,0.0,999.0,137.0,171.0,0.0,239.0
210.0,129.0,119.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,210.0,207.0,0.0,208.0,0.0,240.0,209.0,0.0,105.0,0.0,495.0,488.0,0.0,999.0,137.0,171.0,0.0,223.0
200.0,128.0,127.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,208.0,206.0,0.0,210.0,0.0,263.0,209.0,0.0,105.0,0.0,494.0,488.0,0.0,999.0,137.0,171.0,0.0,253.0
102.0,94.0,159.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,440.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,208.0,207.0,0.0,211.0,0.0,212.0,209.0,0.0,105.0,0.0,495.0,488.0,0.0,999.0,137.0,171.0,0.0,248.0
130.0,103.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,158.0,208.0,0.0,211.0,0.0,254.0,209.0,0.0,105.0,0.0,495.0,488.0,0.0,999.0,137.0,171.0,0.0,233.0
114.0,97.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,101.0,206.0,0.0,211.0,0.0,222.0,209.0,0.0,105.0,0.0,495.0,489.0,0.0,999.0,137.0,171.0,0.0,225.0
109.0,96.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,83.0,207.0,0.0,211.0,0.0,215.0,209.0,0.0,105.0,0.0,495.0,488.0,0.0,999.0,136.0,171.0,0.0,249.0
146.0,107.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,92.0,208.0,0.0,202.0,0.0,276.0,209.0,0.0,105.0,0.0,495.0,488.0,0.0,999.0,128.0,166.0,0.0,261.0
