Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
105.0,97.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1025.0,1040.0,159.0,60.0,130.0,130.0,0.0,121.0,56.0,110.0,56.0,275.0,95.0,118.0,0.0,345.0,205.0,198.0,315.0,67.0,117.0,411.0,485.0,494.0,0.0,1040.0,58.0,110.0,0.0,346.0,266.0
165.0,114.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1026.0,1040.0,159.0,102.0,146.0,145.0,0.0,121.0,96.0,125.0,58.0,306.0,63.0,86.0,0.0,320.0,205.0,142.0,235.0,73.0,112.0,411.0,485.0,495.0,0.0,1040.0,40.0,80.0,0.0,343.0,251.0
194.0,124.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,1027.0,1040.0,159.0,99.0,147.0,157.0,0.0,121.0,98.0,129.0,69.0,379.0,39.0,66.0,0.0,329.0,205.0,108.0,239.0,77.0,119.0,409.0,485.0,495.0,0.0,1040.0,31.0,61.0,0.0,348.0,252.0
149.0,110.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,1028.0,1040.0,158.0,107.0,149.0,157.0,0.0,121.0,97.0,128.0,78.0,220.0,30.0,49.0,0.0,329.0,205.0,85.0,240.0,77.0,120.0,413.0,485.0,495.0,0.0,1041.0,19.0,43.0,0.0,349.0,251.0
156.0,110.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1027.0,1040.0,158.0,109.0,150.0,90.0,0.0,120.0,101.0,130.0,78.0,175.0,36.0,49.0,0.0,329.0,205.0,74.0,248.0,53.0,118.0,413.0,485.0,495.0,0.0,1041.0,21.0,40.0,0.0,351.0,248.0
165.0,116.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,1027.0,1041.0,158.0,95.0,146.0,154.0,0.0,120.0,92.0,128.0,78.0,357.0,40.0,46.0,0.0,345.0,205.0,59.0,228.0,75.0,109.0,413.0,485.0,495.0,0.0,1041.0,16.0,37.0,0.0,354.0,268.0
189.0,120.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,1026.0,1041.0,158.0,125.0,153.0,146.0,0.0,121.0,97.0,125.0,78.0,386.0,48.0,43.0,0.0,362.0,205.0,59.0,254.0,72.0,112.0,412.0,486.0,495.0,0.0,1042.0,18.0,32.0,0.0,352.0,257.0
294.0,155.0,33.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,165.0,1026.0,1040.0,158.0,132.0,157.0,166.0,0.0,121.0,109.0,130.0,78.0,387.0,50.0,42.0,0.0,362.0,205.0,56.0,266.0,81.0,119.0,412.0,486.0,495.0,0.0,1041.0,16.0,26.0,0.0,349.0,299.0
