Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
256.0,143.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,437.0,0.0,1047.0,3.0,0.0,0.0,0.0,144.0,73.0,102.0,308.0,126.0,171.0,0.0,363.0,206.0,335.0,121.0,0.0,492.0,489.0,1024.0,1042.0,115.0,115.0,375.0,203.0
259.0,144.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,436.0,0.0,1047.0,0.0,0.0,0.0,0.0,145.0,73.0,102.0,278.0,88.0,120.0,0.0,363.0,206.0,332.0,122.0,0.0,492.0,489.0,1024.0,1042.0,73.0,59.0,374.0,198.0
252.0,141.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,436.0,0.0,1047.0,0.0,0.0,0.0,0.0,138.0,71.0,99.0,293.0,81.0,106.0,0.0,363.0,206.0,340.0,123.0,0.0,492.0,489.0,1024.0,1041.0,52.0,64.0,374.0,195.0
251.0,142.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,436.0,0.0,1047.0,0.0,0.0,0.0,0.0,138.0,71.0,96.0,293.0,69.0,65.0,67.0,352.0,207.0,339.0,123.0,0.0,492.0,489.0,1024.0,1041.0,59.0,71.0,376.0,206.0
191.0,121.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,436.0,0.0,1047.0,0.0,0.0,0.0,40.0,114.0,61.0,94.0,274.0,133.0,155.0,1.0,349.0,221.0,173.0,124.0,0.0,492.0,489.0,1023.0,1042.0,46.0,69.0,377.0,208.0
275.0,148.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,436.0,0.0,1047.0,90.0,82.0,0.0,120.0,121.0,126.0,96.0,178.0,117.0,174.0,0.0,349.0,218.0,238.0,124.0,0.0,492.0,489.0,1023.0,1042.0,110.0,123.0,378.0,183.0
290.0,153.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,435.0,0.0,1045.0,108.0,111.0,0.0,131.0,137.0,144.0,101.0,353.0,98.0,81.0,87.0,363.0,220.0,335.0,124.0,0.0,492.0,489.0,1024.0,1042.0,34.0,37.0,379.0,262.0
291.0,152.0,86.0,0.0,0.0,0.0,117.0,0.0,0.0,434.0,436.0,0.0,1045.0,108.0,111.0,0.0,123.0,129.0,139.0,97.0,384.0,135.0,167.0,60.0,363.0,223.0,341.0,124.0,0.0,491.0,489.0,1023.0,1041.0,92.0,97.0,379.0,294.0
