Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
249.0,143.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,98.0,0.0,51.0,129.0,0.0,70.0,23.0,0.0,3.0,0.0,0.0,228.0,168.0,0.0,202.0,94.0,394.0,429.0,448.0,0.0,0.0,0.0,0.0,381.0,139.0
185.0,121.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,88.0,0.0,45.0,68.0,0.0,45.0,23.0,0.0,8.0,4.0,0.0,222.0,168.0,0.0,172.0,77.0,242.0,433.0,448.0,0.0,0.0,0.0,0.0,381.0,131.0
197.0,126.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,88.0,0.0,45.0,61.0,0.0,41.0,23.0,0.0,15.0,10.0,0.0,237.0,168.0,2.0,171.0,69.0,239.0,433.0,448.0,0.0,0.0,1.0,3.0,381.0,141.0
180.0,117.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,88.0,0.0,45.0,61.0,0.0,42.0,24.0,0.0,27.0,25.0,0.0,269.0,168.0,20.0,252.0,69.0,242.0,433.0,448.0,0.0,0.0,5.0,10.0,380.0,147.0
247.0,141.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,88.0,4.0,45.0,68.0,24.0,44.0,23.0,54.0,26.0,29.0,0.0,259.0,168.0,36.0,282.0,69.0,330.0,433.0,448.0,0.0,0.0,11.0,17.0,380.0,157.0
254.0,144.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,95.0,68.0,63.0,128.0,109.0,114.0,23.0,156.0,27.0,27.0,0.0,282.0,168.0,33.0,307.0,69.0,413.0,434.0,449.0,0.0,0.0,9.0,15.0,379.0,225.0
291.0,154.0,22.0,0.0,0.0,109.0,0.0,146.0,159.0,0.0,0.0,1021.0,0.0,150.0,154.0,142.0,128.0,149.0,149.0,23.0,330.0,26.0,34.0,0.0,274.0,168.0,44.0,339.0,69.0,416.0,435.0,448.0,0.0,0.0,13.0,21.0,379.0,304.0
294.0,155.0,20.0,0.0,0.0,98.0,0.0,135.0,155.0,0.0,0.0,1021.0,0.0,148.0,153.0,143.0,128.0,148.0,149.0,23.0,389.0,24.0,28.0,0.0,261.0,168.0,37.0,347.0,69.0,416.0,436.0,448.0,0.0,0.0,13.0,19.0,379.0,308.0
293.0,155.0,27.0,0.0,0.0,45.0,0.0,1.0,2.0,0.0,0.0,1022.0,0.0,126.0,128.0,131.0,128.0,137.0,146.0,23.0,391.0,38.0,36.0,0.0,258.0,164.0,39.0,346.0,69.0,415.0,438.0,448.0,0.0,0.0,12.0,18.0,379.0,308.0
293.0,155.0,36.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,1022.0,0.0,143.0,144.0,139.0,128.0,141.0,146.0,23.0,339.0,52.0,53.0,0.0,217.0,110.0,62.0,344.0,69.0,414.0,437.0,448.0,0.0,0.0,18.0,28.0,378.0,309.0
291.0,155.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,114.0,115.0,124.0,128.0,145.0,148.0,23.0,351.0,59.0,67.0,0.0,185.0,101.0,81.0,340.0,69.0,404.0,437.0,448.0,0.0,0.0,26.0,40.0,376.0,308.0
