Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
175.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,307.0,204.0,3.0,256.0,89.0,337.0,454.0,463.0,980.0,0.0,0.0,0.0,357.0,295.0
181.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,1.0,1.0,0.0,335.0,204.0,2.0,247.0,89.0,327.0,456.0,463.0,981.0,0.0,0.0,0.0,356.0,289.0
160.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,3.0,4.0,0.0,339.0,203.0,4.0,262.0,89.0,347.0,457.0,464.0,983.0,0.0,1.0,0.0,359.0,271.0
181.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,1.0,1.0,0.0,339.0,204.0,1.0,305.0,89.0,388.0,458.0,466.0,984.0,0.0,0.0,0.0,358.0,285.0
219.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,2.0,0.0,340.0,205.0,2.0,287.0,89.0,374.0,458.0,468.0,985.0,0.0,0.0,0.0,359.0,257.0
126.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,10.0,7.0,0.0,336.0,204.0,3.0,250.0,89.0,339.0,458.0,468.0,986.0,0.0,1.0,0.0,360.0,136.0
152.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,15.0,20.0,0.0,333.0,204.0,19.0,271.0,89.0,356.0,457.0,468.0,986.0,0.0,9.0,5.0,360.0,227.0
167.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,8.0,7.0,0.0,338.0,205.0,9.0,271.0,89.0,357.0,456.0,467.0,986.0,0.0,2.0,2.0,358.0,272.0
218.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,249.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,20.0,10.0,0.0,338.0,206.0,7.0,261.0,89.0,346.0,455.0,467.0,984.0,0.0,1.0,1.0,355.0,283.0
190.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,23.0,18.0,0.0,332.0,205.0,15.0,255.0,89.0,336.0,453.0,467.0,981.0,0.0,7.0,6.0,351.0,284.0
201.0,123.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,33.0,31.0,0.0,330.0,206.0,25.0,245.0,89.0,319.0,451.0,466.0,979.0,0.0,12.0,12.0,348.0,284.0
