Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Norther Offshore WP,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,405.0,1021.0,1028.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,99.0,118.0,33.0,46.0,34.0,0.0,0.0,0.0,45.0,247.0,0.0,107.0,336.0,475.0,488.0,0.0,1044.0,16.0,11.0,0.0,0.0,294.0
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,436.0,1020.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,49.0,51.0,46.0,0.0,0.0,0.0,57.0,260.0,0.0,104.0,349.0,475.0,489.0,0.0,1044.0,20.0,13.0,0.0,0.0,240.0
0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,438.0,1021.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,42.0,45.0,37.0,0.0,0.0,0.0,45.0,294.0,0.0,98.0,381.0,474.0,487.0,0.0,1044.0,17.0,11.0,0.0,0.0,248.0
0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,437.0,1021.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,44.0,36.0,36.0,0.0,0.0,0.0,46.0,269.0,0.0,93.0,354.0,471.0,483.0,0.0,1045.0,16.0,9.0,0.0,0.0,263.0
0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,438.0,1022.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,45.0,34.0,35.0,0.0,0.0,0.0,43.0,245.0,0.0,92.0,330.0,470.0,483.0,0.0,1044.0,15.0,12.0,0.0,0.0,271.0
0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,438.0,1021.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,36.0,40.0,30.0,0.0,0.0,0.0,38.0,228.0,0.0,93.0,313.0,470.0,483.0,0.0,1033.0,13.0,13.0,0.0,0.0,287.0
0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,438.0,1022.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,32.0,34.0,30.0,0.0,0.0,0.0,40.0,254.0,0.0,93.0,340.0,470.0,483.0,0.0,1035.0,11.0,10.0,0.0,0.0,278.0
0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,439.0,1022.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,44.0,48.0,46.0,0.0,0.0,0.0,69.0,246.0,0.0,93.0,317.0,470.0,483.0,0.0,1037.0,21.0,14.0,0.0,0.0,275.0
