Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,998.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,382.0,21.0,21.0,0.0,297.0,204.0,302.0,90.0,354.0,459.0,469.0,552.0,998.0,14.0,5.0,343.0,283.0
0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,999.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,386.0,26.0,28.0,0.0,280.0,204.0,315.0,90.0,349.0,460.0,469.0,550.0,998.0,13.0,8.0,346.0,273.0
0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,1000.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,241.0,23.0,23.0,0.0,253.0,204.0,308.0,90.0,294.0,460.0,469.0,550.0,1000.0,11.0,9.0,347.0,244.0
0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,999.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,173.0,13.0,15.0,0.0,250.0,204.0,318.0,90.0,293.0,460.0,469.0,550.0,1002.0,8.0,7.0,348.0,241.0
0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,1000.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,356.0,11.0,11.0,0.0,275.0,204.0,315.0,90.0,344.0,464.0,469.0,550.0,1003.0,7.0,6.0,348.0,252.0
0.0,0.0,8.0,23.0,0.0,0.0,67.0,0.0,0.0,0.0,422.0,1001.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,389.0,12.0,10.0,5.0,293.0,204.0,314.0,90.0,357.0,464.0,469.0,548.0,1004.0,6.0,4.0,349.0,288.0
0.0,0.0,14.0,102.0,0.0,0.0,150.0,101.0,0.0,0.0,421.0,1000.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,385.0,21.0,21.0,34.0,277.0,204.0,314.0,90.0,347.0,464.0,469.0,547.0,1002.0,9.0,6.0,348.0,295.0
0.0,0.0,15.0,95.0,0.0,0.0,163.0,4.0,0.0,0.0,421.0,1000.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,372.0,25.0,27.0,34.0,279.0,204.0,309.0,90.0,351.0,463.0,469.0,549.0,999.0,16.0,12.0,347.0,291.0
