Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
288.0,156.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,436.0,0.0,1036.0,0.0,0.0,0.0,120.0,119.0,136.0,120.0,0.0,0.0,385.0,48.0,0.0,293.0,207.0,310.0,118.0,410.0,0.0,0.0,1020.0,1042.0,27.0,31.0,383.0,300.0
288.0,156.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,436.0,0.0,1035.0,0.0,0.0,0.0,122.0,121.0,137.0,116.0,0.0,0.0,385.0,59.0,0.0,302.0,207.0,356.0,118.0,398.0,0.0,0.0,1020.0,1041.0,30.0,39.0,382.0,294.0
287.0,156.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,436.0,0.0,1036.0,0.0,0.0,0.0,124.0,123.0,138.0,103.0,0.0,0.0,385.0,69.0,0.0,292.0,207.0,342.0,119.0,412.0,0.0,0.0,1020.0,1041.0,37.0,43.0,382.0,303.0
286.0,155.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,434.0,0.0,1035.0,0.0,0.0,0.0,119.0,118.0,135.0,102.0,0.0,0.0,385.0,92.0,0.0,294.0,207.0,218.0,119.0,412.0,0.0,0.0,1020.0,1041.0,47.0,55.0,382.0,303.0
228.0,142.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1035.0,0.0,0.0,0.0,81.0,80.0,110.0,102.0,0.0,0.0,385.0,115.0,0.0,216.0,207.0,207.0,119.0,412.0,0.0,0.0,1020.0,1040.0,59.0,72.0,382.0,298.0
149.0,112.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1036.0,0.0,0.0,0.0,86.0,85.0,110.0,99.0,0.0,0.0,385.0,113.0,0.0,295.0,207.0,198.0,119.0,402.0,0.0,0.0,1020.0,1039.0,59.0,73.0,384.0,297.0
248.0,141.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1036.0,0.0,0.0,0.0,121.0,119.0,134.0,99.0,0.0,0.0,385.0,119.0,0.0,299.0,186.0,313.0,119.0,402.0,0.0,0.0,1020.0,1040.0,68.0,78.0,385.0,297.0
283.0,154.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1036.0,0.0,0.0,0.0,126.0,125.0,140.0,100.0,0.0,0.0,350.0,115.0,0.0,308.0,187.0,341.0,119.0,401.0,0.0,0.0,1022.0,1039.0,61.0,76.0,384.0,263.0
276.0,152.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,1035.0,0.0,0.0,0.0,125.0,125.0,137.0,104.0,0.0,0.0,385.0,117.0,0.0,298.0,188.0,333.0,118.0,414.0,0.0,0.0,1023.0,1039.0,51.0,68.0,383.0,259.0
283.0,154.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1035.0,0.0,0.0,0.0,140.0,142.0,150.0,113.0,0.0,0.0,385.0,120.0,0.0,328.0,192.0,336.0,119.0,411.0,0.0,0.0,1023.0,1039.0,62.0,68.0,382.0,289.0
274.0,152.0,116.0,30.0,24.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1035.0,3.0,0.0,0.0,152.0,155.0,158.0,123.0,0.0,0.0,385.0,164.0,0.0,351.0,196.0,325.0,119.0,416.0,0.0,0.0,1023.0,1039.0,87.0,93.0,381.0,298.0
