Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
208.0,132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,435.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,398.0,2.0,4.0,0.0,356.0,200.0,285.0,109.0,379.0,0.0,0.0,0.0,1031.0,3.0,0.0,369.0,276.0
216.0,135.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,435.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,398.0,12.0,18.0,0.0,358.0,200.0,320.0,108.0,303.0,0.0,0.0,0.0,1032.0,6.0,1.0,367.0,246.0
213.0,132.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,435.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,241.0,15.0,30.0,0.0,359.0,200.0,287.0,105.0,337.0,0.0,0.0,0.0,1032.0,15.0,10.0,363.0,251.0
227.0,139.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,434.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,183.0,21.0,40.0,0.0,362.0,199.0,339.0,106.0,348.0,0.0,0.0,0.0,1032.0,16.0,8.0,360.0,212.0
203.0,130.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,434.0,1009.0,0.0,0.0,0.0,0.0,0.0,47.0,5.0,92.0,0.0,0.0,361.0,21.0,43.0,0.0,349.0,200.0,317.0,106.0,295.0,0.0,0.0,0.0,1031.0,21.0,17.0,362.0,226.0
201.0,129.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,434.0,1008.0,0.0,0.0,0.0,0.0,34.0,52.0,38.0,96.0,0.0,0.0,397.0,32.0,72.0,0.0,330.0,199.0,331.0,106.0,388.0,0.0,0.0,0.0,1031.0,36.0,25.0,359.0,289.0
215.0,134.0,42.0,0.0,0.0,0.0,0.0,0.0,98.0,432.0,435.0,1009.0,0.0,0.0,0.0,0.0,132.0,138.0,139.0,98.0,0.0,0.0,398.0,38.0,86.0,0.0,352.0,199.0,344.0,110.0,377.0,0.0,0.0,0.0,1031.0,44.0,33.0,360.0,298.0
284.0,155.0,50.0,0.0,0.0,79.0,3.0,133.0,156.0,432.0,434.0,1008.0,0.0,0.0,0.0,0.0,135.0,141.0,150.0,96.0,0.0,0.0,399.0,46.0,99.0,16.0,348.0,200.0,344.0,117.0,368.0,0.0,0.0,0.0,1030.0,47.0,40.0,362.0,299.0
