Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
233.0,132.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,120.0,132.0,0.0,344.0,205.0,110.0,0.0,89.0,377.0,458.0,466.0,979.0,0.0,58.0,97.0,345.0,298.0
226.0,129.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,132.0,150.0,0.0,344.0,205.0,130.0,0.0,89.0,362.0,458.0,466.0,979.0,0.0,78.0,115.0,348.0,286.0
237.0,134.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,88.0,93.0,0.0,346.0,206.0,78.0,0.0,89.0,381.0,458.0,466.0,979.0,0.0,45.0,88.0,348.0,268.0
237.0,133.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,78.0,47.0,0.0,347.0,205.0,40.0,9.0,89.0,370.0,459.0,466.0,979.0,0.0,22.0,41.0,348.0,271.0
253.0,139.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,10.0,0.0,0.0,42.0,42.0,0.0,107.0,53.0,32.0,28.0,0.0,347.0,207.0,27.0,47.0,89.0,394.0,460.0,466.0,979.0,0.0,17.0,26.0,346.0,297.0
204.0,123.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,106.0,2.0,0.0,109.0,132.0,0.0,95.0,147.0,19.0,37.0,10.0,336.0,214.0,33.0,244.0,89.0,342.0,460.0,466.0,979.0,0.0,26.0,37.0,350.0,299.0
190.0,116.0,34.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,1012.0,42.0,1.0,0.0,104.0,129.0,0.0,95.0,328.0,58.0,83.0,0.0,323.0,208.0,53.0,317.0,93.0,325.0,460.0,466.0,980.0,0.0,42.0,56.0,349.0,297.0
206.0,123.0,38.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,1.0,0.0,94.0,371.0,63.0,80.0,0.0,299.0,203.0,49.0,314.0,95.0,326.0,459.0,466.0,979.0,0.0,41.0,58.0,349.0,294.0
196.0,119.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,371.0,82.0,87.0,0.0,281.0,205.0,50.0,314.0,96.0,308.0,458.0,466.0,977.0,0.0,36.0,60.0,351.0,293.0
201.0,120.0,42.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1009.0,1.0,0.0,0.0,0.0,0.0,0.0,95.0,368.0,73.0,70.0,0.0,254.0,204.0,43.0,311.0,98.0,312.0,456.0,466.0,975.0,0.0,28.0,41.0,347.0,293.0
203.0,121.0,40.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,366.0,66.0,56.0,0.0,274.0,205.0,33.0,309.0,99.0,313.0,452.0,466.0,973.0,0.0,19.0,36.0,345.0,283.0
