Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
117.0,104.0,25.0,0.0,0.0,14.0,0.0,0.0,0.0,435.0,438.0,1020.0,1031.0,0.0,0.0,0.0,64.0,0.0,28.0,101.0,0.0,0.0,0.0,54.0,0.0,266.0,209.0,0.0,108.0,395.0,470.0,490.0,1029.0,1041.0,13.0,23.0,369.0,301.0
172.0,121.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,438.0,1020.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.0,0.0,274.0,209.0,0.0,108.0,262.0,470.0,490.0,1029.0,1044.0,6.0,9.0,370.0,301.0
190.0,129.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,438.0,1020.0,1031.0,0.0,26.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,14.0,0.0,228.0,208.0,0.0,108.0,242.0,472.0,490.0,1029.0,1043.0,6.0,6.0,367.0,301.0
129.0,108.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,438.0,1020.0,1032.0,0.0,37.0,1.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,16.0,0.0,207.0,194.0,0.0,108.0,246.0,473.0,490.0,1029.0,1041.0,6.0,9.0,369.0,281.0
131.0,108.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,438.0,1021.0,1032.0,0.0,39.0,14.0,0.0,0.0,0.0,57.0,0.0,1.0,0.0,17.0,0.0,229.0,127.0,0.0,108.0,240.0,473.0,490.0,1029.0,1041.0,1.0,1.0,369.0,294.0
129.0,108.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,438.0,1021.0,1031.0,0.0,59.0,36.0,39.0,0.0,0.0,89.0,0.0,3.0,6.0,4.0,0.0,229.0,135.0,18.0,108.0,274.0,473.0,490.0,1029.0,1041.0,0.0,0.0,373.0,294.0
127.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,438.0,1020.0,1031.0,47.0,59.0,41.0,126.0,35.0,60.0,101.0,0.0,6.0,162.0,0.0,0.0,267.0,195.0,198.0,108.0,394.0,473.0,490.0,1032.0,1042.0,0.0,0.0,372.0,300.0
247.0,149.0,1.0,100.0,54.0,128.0,159.0,88.0,186.0,435.0,439.0,1020.0,1032.0,16.0,145.0,82.0,148.0,142.0,143.0,101.0,0.0,24.0,350.0,1.0,91.0,300.0,209.0,327.0,113.0,404.0,473.0,490.0,1033.0,1041.0,0.0,0.0,369.0,301.0
251.0,153.0,2.0,103.0,97.0,105.0,166.0,162.0,169.0,434.0,439.0,1021.0,1032.0,0.0,152.0,77.0,168.0,165.0,164.0,100.0,0.0,52.0,387.0,2.0,75.0,296.0,208.0,348.0,123.0,399.0,473.0,490.0,1033.0,1042.0,0.0,0.0,363.0,301.0
248.0,152.0,4.0,87.0,89.0,100.0,97.0,20.0,164.0,434.0,438.0,1022.0,1032.0,1.0,153.0,77.0,168.0,164.0,164.0,99.0,0.0,72.0,388.0,6.0,41.0,273.0,210.0,347.0,125.0,388.0,473.0,490.0,1033.0,1042.0,1.0,2.0,350.0,294.0
233.0,146.0,8.0,1.0,1.0,18.0,1.0,0.0,6.0,434.0,438.0,1021.0,1031.0,101.0,153.0,101.0,116.0,115.0,136.0,100.0,0.0,86.0,392.0,13.0,0.0,207.0,209.0,347.0,125.0,376.0,473.0,490.0,1033.0,1042.0,4.0,6.0,348.0,302.0
