Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
294.0,158.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,440.0,1022.0,1035.0,128.0,129.0,142.0,145.0,144.0,152.0,99.0,207.0,213.0,387.0,140.0,0.0,351.0,209.0,352.0,105.0,348.0,487.0,490.0,1032.0,1043.0,77.0,79.0,350.0,246.0
293.0,158.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,440.0,1023.0,1037.0,121.0,122.0,136.0,14.0,120.0,71.0,95.0,207.0,215.0,208.0,169.0,0.0,360.0,209.0,348.0,105.0,340.0,487.0,490.0,1032.0,1043.0,97.0,99.0,350.0,252.0
293.0,158.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,440.0,1023.0,1038.0,131.0,131.0,146.0,0.0,86.0,53.0,101.0,211.0,218.0,194.0,172.0,0.0,363.0,209.0,347.0,105.0,345.0,487.0,490.0,1032.0,1043.0,100.0,103.0,347.0,247.0
294.0,158.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,440.0,1025.0,1037.0,130.0,131.0,143.0,0.0,74.0,46.0,100.0,216.0,219.0,194.0,181.0,0.0,356.0,209.0,347.0,105.0,347.0,487.0,490.0,1032.0,1043.0,100.0,109.0,347.0,249.0
294.0,158.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,440.0,1026.0,1037.0,152.0,153.0,160.0,0.0,93.0,55.0,101.0,217.0,219.0,194.0,182.0,0.0,363.0,209.0,347.0,105.0,363.0,487.0,490.0,1032.0,1043.0,94.0,99.0,346.0,249.0
294.0,158.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,439.0,1026.0,1037.0,134.0,134.0,148.0,0.0,147.0,74.0,102.0,216.0,216.0,236.0,190.0,0.0,362.0,209.0,347.0,105.0,347.0,487.0,490.0,1032.0,1043.0,100.0,109.0,346.0,241.0
293.0,158.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,439.0,1026.0,1037.0,123.0,124.0,139.0,10.0,145.0,74.0,99.0,217.0,216.0,300.0,200.0,0.0,351.0,209.0,348.0,105.0,344.0,487.0,490.0,1032.0,1043.0,102.0,121.0,343.0,254.0
294.0,158.0,153.0,17.0,102.0,0.0,42.0,119.0,0.0,434.0,439.0,1025.0,1036.0,141.0,143.0,153.0,154.0,151.0,75.0,100.0,217.0,219.0,330.0,204.0,0.0,350.0,210.0,352.0,108.0,345.0,487.0,490.0,1032.0,1043.0,114.0,129.0,342.0,298.0
293.0,158.0,158.0,111.0,108.0,103.0,170.0,162.0,48.0,434.0,439.0,1021.0,1037.0,151.0,153.0,161.0,168.0,162.0,79.0,99.0,224.0,218.0,330.0,206.0,32.0,353.0,210.0,353.0,117.0,337.0,486.0,490.0,1032.0,1043.0,125.0,146.0,342.0,301.0
294.0,158.0,159.0,74.0,93.0,1.0,1.0,133.0,0.0,434.0,439.0,1019.0,1036.0,148.0,149.0,159.0,170.0,163.0,79.0,96.0,234.0,220.0,330.0,206.0,31.0,359.0,210.0,352.0,123.0,331.0,486.0,490.0,1032.0,1044.0,131.0,143.0,342.0,300.0
293.0,158.0,159.0,22.0,70.0,0.0,0.0,0.0,0.0,434.0,439.0,1019.0,1037.0,140.0,143.0,154.0,159.0,162.0,79.0,93.0,232.0,218.0,330.0,205.0,0.0,361.0,210.0,352.0,123.0,329.0,486.0,490.0,1031.0,1043.0,133.0,146.0,346.0,302.0
