Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
196.0,124.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,431.0,975.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,89.0,0.0,252.0,0.0,0.0,90.0,389.0,0.0,0.0,989.0,0.0,70.0,52.0,327.0,131.0
189.0,123.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,430.0,976.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,54.0,0.0,256.0,0.0,0.0,92.0,392.0,0.0,0.0,989.0,0.0,41.0,39.0,326.0,159.0
155.0,110.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,430.0,975.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,51.0,0.0,224.0,0.0,0.0,91.0,394.0,0.0,0.0,989.0,0.0,49.0,40.0,327.0,150.0
203.0,126.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,430.0,977.0,994.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,53.0,0.0,263.0,0.0,0.0,91.0,392.0,0.0,0.0,988.0,0.0,43.0,39.0,335.0,129.0
164.0,114.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,429.0,978.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,33.0,0.0,265.0,0.0,0.0,90.0,389.0,0.0,0.0,986.0,0.0,25.0,22.0,325.0,140.0
235.0,139.0,9.0,0.0,20.0,0.0,0.0,0.0,0.0,425.0,430.0,980.0,1000.0,0.0,0.0,0.0,0.0,38.0,0.0,98.0,0.0,0.0,0.0,23.0,8.0,308.0,0.0,0.0,90.0,393.0,0.0,0.0,990.0,0.0,15.0,13.0,322.0,243.0
197.0,127.0,7.0,0.0,62.0,0.0,0.0,0.0,0.0,425.0,430.0,979.0,1000.0,0.0,0.0,0.0,0.0,144.0,0.0,107.0,0.0,0.0,0.0,19.0,75.0,284.0,0.0,0.0,94.0,398.0,0.0,0.0,992.0,0.0,12.0,11.0,321.0,256.0
187.0,122.0,10.0,0.0,70.0,0.0,0.0,0.0,0.0,425.0,430.0,976.0,998.0,3.0,0.0,0.0,0.0,124.0,0.0,107.0,0.0,0.0,0.0,18.0,0.0,271.0,0.0,0.0,94.0,382.0,0.0,0.0,989.0,0.0,11.0,14.0,321.0,256.0
212.0,131.0,5.0,0.0,105.0,0.0,0.0,0.0,0.0,424.0,429.0,979.0,997.0,106.0,0.0,0.0,0.0,120.0,0.0,95.0,0.0,0.0,0.0,13.0,59.0,290.0,0.0,0.0,94.0,385.0,0.0,0.0,975.0,0.0,8.0,10.0,319.0,242.0
224.0,135.0,2.0,81.0,107.0,104.0,0.0,0.0,0.0,423.0,428.0,975.0,994.0,85.0,0.0,0.0,0.0,137.0,0.0,95.0,0.0,0.0,0.0,9.0,54.0,291.0,0.0,0.0,94.0,376.0,0.0,0.0,980.0,0.0,4.0,5.0,316.0,226.0
219.0,134.0,4.0,1.0,79.0,1.0,0.0,0.0,0.0,424.0,429.0,970.0,988.0,77.0,0.0,0.0,0.0,136.0,0.0,95.0,0.0,0.0,0.0,13.0,15.0,284.0,0.0,0.0,94.0,364.0,0.0,0.0,979.0,0.0,8.0,10.0,312.0,263.0
196.0,126.0,3.0,0.0,0.0,23.0,0.0,0.0,0.0,425.0,430.0,967.0,986.0,87.0,0.0,0.0,0.0,135.0,0.0,95.0,0.0,0.0,0.0,7.0,8.0,271.0,0.0,0.0,94.0,366.0,0.0,0.0,975.0,0.0,1.0,3.0,309.0,260.0
