Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,390.0,41.0,62.0,0.0,237.0,205.0,0.0,90.0,345.0,468.0,475.0,292.0,1015.0,40.0,65.0,229.0,228.0
0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,398.0,43.0,58.0,0.0,234.0,205.0,0.0,90.0,348.0,468.0,475.0,292.0,1015.0,36.0,47.0,229.0,218.0
0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,395.0,31.0,49.0,0.0,235.0,205.0,0.0,90.0,298.0,470.0,475.0,293.0,1018.0,32.0,43.0,229.0,232.0
0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,392.0,28.0,34.0,0.0,260.0,205.0,0.0,90.0,319.0,471.0,475.0,293.0,1018.0,20.0,32.0,229.0,262.0
0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,392.0,26.0,22.0,0.0,254.0,205.0,28.0,90.0,339.0,471.0,475.0,293.0,1019.0,13.0,22.0,229.0,261.0
0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,392.0,13.0,12.0,0.0,244.0,205.0,252.0,90.0,350.0,471.0,476.0,291.0,1019.0,8.0,13.0,357.0,265.0
0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,392.0,10.0,9.0,0.0,259.0,205.0,266.0,90.0,334.0,471.0,477.0,289.0,1018.0,3.0,8.0,370.0,283.0
0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,114.0,426.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,392.0,5.0,4.0,0.0,300.0,205.0,307.0,90.0,334.0,470.0,477.0,288.0,1018.0,0.0,3.0,367.0,281.0
