Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
115.0,99.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,437.0,208.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,105.0,88.0,0.0,99.0,0.0,6.0,139.0,0.0,105.0,308.0,468.0,475.0,1028.0,1041.0,60.0,66.0,320.0,233.0
117.0,100.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,437.0,217.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,71.0,72.0,0.0,128.0,0.0,0.0,126.0,0.0,105.0,311.0,469.0,470.0,1028.0,1041.0,71.0,84.0,321.0,237.0
133.0,105.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,437.0,256.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,72.0,71.0,0.0,129.0,0.0,0.0,76.0,0.0,105.0,312.0,468.0,470.0,1028.0,1040.0,73.0,81.0,326.0,261.0
178.0,119.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,437.0,279.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,75.0,72.0,0.0,144.0,0.0,0.0,51.0,0.0,105.0,324.0,469.0,469.0,1028.0,1041.0,81.0,89.0,333.0,268.0
189.0,122.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,437.0,309.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,73.0,72.0,0.0,149.0,0.0,0.0,43.0,0.0,105.0,334.0,468.0,470.0,1028.0,1041.0,83.0,94.0,341.0,228.0
143.0,109.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,437.0,338.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,121.0,125.0,0.0,182.0,0.0,0.0,86.0,0.0,105.0,314.0,468.0,469.0,1028.0,1042.0,107.0,118.0,350.0,258.0
106.0,96.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,437.0,368.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,177.0,170.0,116.0,211.0,0.0,0.0,143.0,0.0,105.0,312.0,468.0,469.0,1028.0,1041.0,133.0,150.0,340.0,237.0
163.0,114.0,160.0,10.0,0.0,0.0,0.0,178.0,0.0,430.0,436.0,398.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,216.0,221.0,346.0,212.0,7.0,0.0,182.0,0.0,107.0,324.0,468.0,469.0,1028.0,1041.0,136.0,151.0,230.0,236.0
233.0,137.0,160.0,122.0,0.0,0.0,103.0,156.0,0.0,430.0,436.0,426.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,216.0,220.0,383.0,212.0,40.0,0.0,202.0,0.0,113.0,324.0,468.0,469.0,1030.0,1041.0,136.0,151.0,229.0,250.0
179.0,122.0,160.0,129.0,0.0,0.0,2.0,4.0,0.0,430.0,438.0,454.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,216.0,211.0,386.0,212.0,23.0,0.0,207.0,0.0,115.0,315.0,468.0,469.0,1029.0,1045.0,136.0,151.0,229.0,193.0
176.0,118.0,160.0,139.0,0.0,0.0,0.0,0.0,0.0,430.0,438.0,481.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,216.0,213.0,304.0,212.0,1.0,0.0,207.0,0.0,106.0,317.0,469.0,469.0,1028.0,1040.0,136.0,152.0,229.0,236.0
