Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Norther Offshore WP,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
11.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,438.0,1026.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,154.0,136.0,179.0,0.0,193.0,0.0,208.0,0.0,0.0,129.0,261.0,477.0,494.0,0.0,1043.0,103.0,96.0,0.0,321.0,266.0
40.0,23.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,438.0,1026.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,151.0,110.0,173.0,0.0,222.0,0.0,194.0,0.0,0.0,129.0,291.0,477.0,495.0,0.0,1043.0,89.0,84.0,0.0,319.0,261.0
84.0,79.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,438.0,1026.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,144.0,98.0,156.0,0.0,219.0,0.0,168.0,9.0,0.0,129.0,290.0,477.0,495.0,0.0,1042.0,72.0,67.0,0.0,319.0,235.0
108.0,91.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,438.0,1026.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,124.0,101.0,135.0,0.0,231.0,0.0,154.0,34.0,0.0,129.0,286.0,477.0,494.0,0.0,1043.0,71.0,64.0,0.0,319.0,157.0
244.0,133.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,437.0,1027.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,110.0,105.0,126.0,0.0,223.0,0.0,143.0,68.0,0.0,129.0,321.0,477.0,495.0,0.0,1043.0,71.0,71.0,0.0,368.0,154.0
290.0,153.0,66.0,0.0,29.0,0.0,0.0,0.0,0.0,455.0,438.0,1028.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,103.0,93.0,115.0,0.0,267.0,0.0,133.0,234.0,0.0,129.0,364.0,477.0,495.0,0.0,1043.0,63.0,66.0,0.0,372.0,183.0
291.0,154.0,71.0,0.0,118.0,52.0,180.0,141.0,167.0,456.0,438.0,1027.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,102.0,89.0,126.0,0.0,289.0,0.0,141.0,352.0,0.0,129.0,373.0,477.0,495.0,0.0,1043.0,56.0,66.0,0.0,373.0,295.0
288.0,153.0,67.0,0.0,100.0,98.0,169.0,0.0,220.0,456.0,438.0,1028.0,1035.0,1.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,51.0,0.0,97.0,87.0,127.0,99.0,337.0,0.0,144.0,352.0,0.0,129.0,387.0,478.0,495.0,0.0,1042.0,58.0,62.0,0.0,363.0,302.0
